Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm)
2.0,-3896.0,-56.47,717.5,795
3.0,-3396.0,-50.22,718.0,795
4.0,-2896.0,-33.72,718.5,795
5.0,-2396.0,-20.0,719.0,795
6.0,-1896.0,5.28,719.5,795
7.0,-1396.0,32.77,720.0,795
8.0,-896.0,53.74,720.5,795
9.0,-396.0,79.33,721.0,795
10.0,104.0,101.53,721.5,795
11.0,604.0,120.99,722.0,795
12.0,1104.0,123.08,722.5,795
13.0,1604.0,133.54,723.0,795
14.0,2104.0,137.17,723.5,795
15.0,2604.0,147.89,724.0,795
16.0,3104.0,155.92,724.5,795
17.0,3604.0,159.06,725.0,795
18.0,4104.0,172.32,725.5,795
19.0,4604.0,174.81,726.0,795
20.0,5104.0,189.81,726.5,795
21.0,5604.0,196.23,727.0,795
22.0,6104.0,197.24,727.5,795
23.0,6604.0,205.63,728.0,795
24.0,7104.0,212.26,728.5,795
25.0,7604.0,219.28,729.0,795
26.0,8104.0,229.82,729.5,795
27.0,8604.0,233.23,730.0,795
28.0,9104.0,237.02,730.5,795
29.0,9604.0,250.67,731.0,795
30.0,10104.0,257.45,731.5,795
31.0,10604.0,263.44,732.0,795
32.0,11104.0,271.33,732.5,795
33.0,11604.0,275.04,733.0,795
34.0,12104.0,284.91,733.5,795
35.0,12604.0,308.92,734.0,795
36.0,13104.0,336.8,734.5,795
37.0,13604.0,366.06,735.0,795
38.0,14104.0,390.47,735.5,795
39.0,14604.0,423.15,736.0,795
40.0,15104.0,457.12,736.5,795
41.0,15604.0,486.19,737.0,795
42.0,16104.0,485.3,737.5,795
43.0,16604.0,486.35,738.0,795
44.0,17104.0,512.14,738.5,795
45.0,17604.0,400.6,739.0,795
46.0,18104.0,431.37,739.5,795
47.0,18604.0,458.44,740.0,795
48.0,19104.0,488.52,740.5,795
49.0,19604.0,523.38,741.0,795
50.0,20104.0,522.24,741.5,795
51.0,20604.0,483.6,742.0,795
52.0,21104.0,460.73,742.5,795
53.0,21604.0,494.01,743.0,795
54.0,22104.0,472.86,743.5,795
55.0,22604.0,503.43,744.0,795
56.0,23104.0,508.31,744.5,795
57.0,23604.0,506.91,745.0,795
58.0,24104.0,524.98,745.5,795
59.0,24604.0,539.94,746.0,795
60.0,25104.0,557.45,746.5,795
61.0,25604.0,570.9,747.0,795
62.0,26104.0,585.98,747.5,795
63.0,26604.0,583.44,748.0,795
64.0,27104.0,593.62,748.5,795
65.0,27604.0,615.65,749.0,795
66.0,28104.0,640.83,749.5,795
67.0,28604.0,666.79,750.0,795
68.0,29104.0,691.83,750.5,795
69.0,29604.0,689.97,751.0,795
70.0,30104.0,724.36,751.5,795
71.0,30604.0,741.96,752.0,795
72.0,31104.0,759.45,752.5,795
73.0,31604.0,779.64,753.0,795
74.0,32104.0,807.87,753.5,795
75.0,32604.0,834.85,754.0,795
76.0,-32432.0,862.97,754.5,795
77.0,-31932.0,886.96,755.0,795
78.0,-31432.0,906.11,755.5,795
79.0,-30932.0,929.99,756.0,795
80.0,-30432.0,953.83,756.5,795
81.0,-29932.0,971.88,757.0,795
82.0,-29432.0,994.4,757.5,795
83.0,-28932.0,1012.48,758.0,795
