Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm)
2.0,-20536.0,3.3,45.5,915
3.0,-20036.0,3.83,46.0,915
4.0,-19536.0,4.18,46.5,915
5.0,-19036.0,3.28,47.0,915
6.0,-18536.0,4.44,47.5,915
7.0,-18036.0,4.26,48.0,915
8.0,-17536.0,5.24,48.5,915
9.0,-17036.0,5.92,49.0,915
10.0,-16536.0,7.2,49.5,915
11.0,-16036.0,7.72,50.0,915
12.0,-15536.0,8.92,50.5,915
13.0,-15036.0,10.0,51.0,915
14.0,-14536.0,10.36,51.5,915
15.0,-14036.0,11.18,52.0,915
16.0,-13536.0,12.21,52.5,915
17.0,-13036.0,12.32,53.0,915
18.0,-12536.0,13.3,53.5,915
19.0,-12036.0,14.57,54.0,915
20.0,-11536.0,15.59,54.5,915
21.0,-11036.0,16.31,55.0,915
22.0,-10536.0,17.74,55.5,915
23.0,-10036.0,18.4,56.0,915
24.0,-9536.0,19.48,56.5,915
25.0,-9036.0,19.73,57.0,915
26.0,-8536.0,20.67,57.5,915
27.0,-8036.0,21.58,58.0,915
28.0,-7536.0,22.5,58.5,915
29.0,-7036.0,23.83,59.0,915
30.0,-6536.0,25.32,59.5,915
31.0,-6036.0,25.89,60.0,915
32.0,-5536.0,26.87,60.5,915
33.0,-5036.0,27.63,61.0,915
34.0,-4536.0,28.69,61.5,915
35.0,-4036.0,30.66,62.0,915
36.0,-3536.0,30.87,62.5,915
37.0,-3036.0,31.15,63.0,915
38.0,-2536.0,32.68,63.5,915
39.0,-2036.0,33.36,64.0,915
40.0,-1536.0,35.39,64.5,915
41.0,-1036.0,35.11,65.0,915
42.0,-536.0,36.02,65.5,915
43.0,-36.0,37.0,66.0,915
44.0,464.0,37.52,66.5,915
45.0,964.0,38.15,67.0,915
46.0,1464.0,38.57,67.5,915
47.0,1964.0,39.69,68.0,915
48.0,2464.0,41.11,68.5,915
49.0,2964.0,41.99,69.0,915
50.0,3464.0,42.15,69.5,915
51.0,3964.0,43.79,70.0,915
52.0,4464.0,44.09,70.5,915
53.0,4964.0,45.0,71.0,915
54.0,5464.0,46.56,71.5,915
55.0,5964.0,47.71,72.0,915
56.0,6464.0,47.86,72.5,915
57.0,6964.0,48.34,73.0,915
58.0,7464.0,49.36,73.5,915
59.0,7964.0,48.77,74.0,915
60.0,8464.0,49.99,74.5,915
61.0,8964.0,52.08,75.0,915
62.0,9464.0,53.74,75.5,915
63.0,9964.0,53.13,76.0,915
64.0,10464.0,55.26,76.5,915
65.0,10964.0,55.94,77.0,915
66.0,11464.0,57.06,77.5,915
67.0,11964.0,58.64,78.0,915
68.0,12464.0,56.96,78.5,915
69.0,12964.0,59.63,79.0,915
70.0,13464.0,59.66,79.5,915
71.0,13964.0,60.17,80.0,915
72.0,14464.0,61.07,80.5,915
73.0,14964.0,62.1,81.0,915
74.0,15464.0,62.78,81.5,915
75.0,15964.0,63.87,82.0,915
76.0,16464.0,64.66,82.5,915
77.0,16964.0,65.64,83.0,915
78.0,17464.0,66.58,83.5,915
79.0,17964.0,67.84,84.0,915
80.0,18464.0,68.47,84.5,915
81.0,18964.0,69.43,85.0,915
82.0,19464.0,70.35,85.5,915
83.0,19964.0,70.96,86.0,915
84.0,20464.0,71.92,86.5,915
85.0,20964.0,73.01,87.0,915
86.0,21464.0,73.94,87.5,915
87.0,21964.0,78.43,88.0,915
88.0,22464.0,70.11,88.5,915
89.0,22964.0,69.91,89.0,915
