Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm)
2.0,23964.0,-25.46,90.0,800
3.0,24464.0,-23.59,90.5,800
4.0,24964.0,-24.67,91.0,800
5.0,25464.0,-25.21,91.5,800
6.0,25964.0,-24.0,92.0,800
7.0,26464.0,-25.61,92.5,800
8.0,26964.0,-25.81,93.0,800
9.0,27464.0,-24.5,93.5,800
10.0,27964.0,-24.55,94.0,800
11.0,28464.0,-26.18,94.5,800
12.0,28964.0,-24.84,95.0,800
13.0,29464.0,-24.42,95.5,800
14.0,29964.0,-25.76,96.0,800
15.0,30464.0,-26.1,96.5,800
16.0,30964.0,-24.37,97.0,800
17.0,31464.0,-26.12,97.5,800
18.0,31964.0,-26.43,98.0,800
19.0,32464.0,-24.53,98.5,800
20.0,-32572.0,-24.11,99.0,800
21.0,-32072.0,-21.3,99.5,800
22.0,-31572.0,-19.3,100.0,800
23.0,-31072.0,-17.22,100.5,800
24.0,-30572.0,-14.89,101.0,800
25.0,-30072.0,-12.73,101.5,800
26.0,-29572.0,-10.95,102.0,800
27.0,-29072.0,-8.62,102.5,800
28.0,-28572.0,-6.48,103.0,800
29.0,-28072.0,-4.59,103.5,800
30.0,-27572.0,-2.35,104.0,800
31.0,-27072.0,-0.67,104.5,800
32.0,-26572.0,0.97,105.0,800
33.0,-26072.0,3.25,105.5,800
34.0,-25572.0,5.88,106.0,800
35.0,-25072.0,8.13,106.5,800
36.0,-24572.0,9.66,107.0,800
37.0,-24072.0,12.14,107.5,800
38.0,-23572.0,14.27,108.0,800
39.0,-23072.0,16.07,108.5,800
40.0,-22572.0,17.71,109.0,800
41.0,-22072.0,19.79,109.5,800
42.0,-21572.0,21.75,110.0,800
43.0,-21072.0,23.68,110.5,800
44.0,-20572.0,25.04,111.0,800
45.0,-20072.0,25.83,111.5,800
46.0,-19572.0,27.16,112.0,800
47.0,-19072.0,30.14,112.5,800
48.0,-18572.0,31.85,113.0,800
49.0,-18072.0,32.02,113.5,800
50.0,-17572.0,34.05,114.0,800
51.0,-17072.0,35.1,114.5,800
52.0,-16572.0,36.36,115.0,800
53.0,-16072.0,37.93,115.5,800
54.0,-15572.0,38.89,116.0,800
55.0,-15072.0,41.49,116.5,800
56.0,-14572.0,43.9,117.0,800
57.0,-14072.0,44.86,117.5,800
58.0,-13572.0,45.69,118.0,800
59.0,-13072.0,48.26,118.5,800
60.0,-12572.0,50.0,119.0,800
61.0,-12072.0,52.03,119.5,800
62.0,-11572.0,53.36,120.0,800
63.0,-11072.0,55.39,120.5,800
64.0,-10572.0,57.23,121.0,800
65.0,-10072.0,58.91,121.5,800
66.0,-9572.0,60.93,122.0,800
67.0,-9072.0,62.77,122.5,800
68.0,-8572.0,63.65,123.0,800
69.0,-8072.0,65.2,123.5,800
70.0,-7572.0,67.02,124.0,800
71.0,-7072.0,66.81,124.5,800
72.0,-6572.0,68.97,125.0,800
73.0,-6072.0,70.35,125.5,800
74.0,-5572.0,70.84,126.0,800
75.0,-5072.0,71.98,126.5,800
76.0,-4572.0,74.14,127.0,800
77.0,-4072.0,71.4,127.5,800
78.0,-3572.0,74.94,128.0,800
79.0,-3072.0,76.86,128.5,800
80.0,-2572.0,78.17,129.0,800
81.0,-2072.0,81.13,129.5,800
82.0,-1572.0,83.51,130.0,800
83.0,-1072.0,84.97,130.5,800
84.0,-572.0,85.7,131.0,800
85.0,-72.0,86.75,131.5,800
86.0,428.0,90.25,132.0,800
87.0,928.0,91.92,132.5,800
88.0,1428.0,93.77,133.0,800
89.0,1928.0,95.4,133.5,800
