Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm)
2.0,22464.0,-37.98,88.5,640
3.0,22964.0,-39.73,89.0,640
4.0,23464.0,-36.87,89.5,640
5.0,23964.0,-38.2,90.0,640
6.0,24464.0,-38.4,90.5,640
7.0,24964.0,-37.65,91.0,640
8.0,25464.0,-37.87,91.5,640
9.0,25964.0,-22.9,92.0,640
10.0,26464.0,-20.72,92.5,640
11.0,26964.0,-11.85,93.0,640
12.0,27464.0,-5.86,93.5,640
13.0,27964.0,8.73,94.0,640
14.0,28464.0,19.41,94.5,640
15.0,28964.0,31.02,95.0,640
16.0,29464.0,31.81,95.5,640
17.0,29964.0,47.18,96.0,640
18.0,30464.0,69.72,96.5,640
19.0,30964.0,81.98,97.0,640
20.0,31464.0,97.9,97.5,640
21.0,31964.0,123.43,98.0,640
22.0,32464.0,139.04,98.5,640
23.0,-32572.0,149.95,99.0,640
24.0,-32072.0,172.18,99.5,640
25.0,-31572.0,176.8,100.0,640
26.0,-31072.0,203.48,100.5,640
27.0,-30572.0,214.22,101.0,640
28.0,-30072.0,215.19,101.5,640
29.0,-29572.0,209.82,102.0,640
30.0,-29072.0,241.33,102.5,640
31.0,-28572.0,261.99,103.0,640
32.0,-28072.0,275.22,103.5,640
33.0,-27572.0,301.89,104.0,640
34.0,-27072.0,336.61,104.5,640
35.0,-26572.0,363.57,105.0,640
36.0,-26072.0,373.51,105.5,640
37.0,-25572.0,404.46,106.0,640
38.0,-25072.0,435.51,106.5,640
39.0,-24572.0,467.45,107.0,640
40.0,-24072.0,500.91,107.5,640
41.0,-23572.0,528.39,108.0,640
42.0,-23072.0,559.33,108.5,640
43.0,-22572.0,459.69,109.0,640
44.0,-22072.0,477.14,109.5,640
45.0,-21572.0,509.67,110.0,640
46.0,-21072.0,548.45,110.5,640
47.0,-20572.0,583.93,111.0,640
48.0,-20072.0,588.19,111.5,640
49.0,-19572.0,613.0,112.0,640
50.0,-19072.0,646.03,112.5,640
51.0,-18572.0,666.29,113.0,640
52.0,-18072.0,709.24,113.5,640
53.0,-17572.0,736.14,114.0,640
54.0,-17072.0,770.98,114.5,640
55.0,-16572.0,801.36,115.0,640
56.0,-16072.0,730.18,115.5,640
57.0,-15572.0,781.41,116.0,640
58.0,-15072.0,823.59,116.5,640
59.0,-14572.0,845.79,117.0,640
60.0,-14072.0,888.17,117.5,640
61.0,-13572.0,912.3,118.0,640
62.0,-13072.0,950.71,118.5,640
63.0,-12572.0,981.66,119.0,640
64.0,-12072.0,1017.34,119.5,640
