Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm)
2.0,30212.0,18.17,555.0,900
3.0,30712.0,29.64,555.5,900
4.0,31212.0,5.52,556.0,900
5.0,31712.0,18.76,556.5,900
6.0,32212.0,58.19,557.0,900
7.0,32712.0,53.87,557.5,900
8.0,-32324.0,122.08,558.0,900
9.0,-31824.0,169.4,558.5,900
10.0,-31324.0,158.73,559.0,900
11.0,-30824.0,228.84,559.5,900
12.0,-30324.0,242.26,560.0,900
13.0,-29824.0,257.44,560.5,900
14.0,-29324.0,281.67,561.0,900
15.0,-28824.0,265.46,561.5,900
16.0,-28324.0,293.08,562.0,900
17.0,-27824.0,351.65,562.5,900
18.0,-27324.0,404.03,563.0,900
19.0,-26824.0,411.74,563.5,900
20.0,-26324.0,439.77,564.0,900
21.0,-25824.0,478.02,564.5,900
22.0,-25324.0,488.05,565.0,900
23.0,-24824.0,484.27,565.5,900
24.0,-24324.0,462.44,566.0,900
25.0,-23824.0,511.51,566.5,900
26.0,-23324.0,548.03,567.0,900
27.0,-22824.0,613.8,567.5,900
28.0,-22324.0,647.09,568.0,900
29.0,-21824.0,665.6,568.5,900
30.0,-21324.0,682.71,569.0,900
31.0,-20824.0,720.61,569.5,900
32.0,-20324.0,719.53,570.0,900
33.0,-19824.0,754.14,570.5,900
34.0,-19324.0,768.1,571.0,900
35.0,-18824.0,785.06,571.5,900
36.0,-18324.0,797.18,572.0,900
37.0,-17824.0,795.01,572.5,900
38.0,-17324.0,805.3,573.0,900
39.0,-16824.0,747.77,573.5,900
40.0,-16324.0,837.07,574.0,900
41.0,-15824.0,850.43,574.5,900
42.0,-15324.0,844.02,575.0,900
43.0,-14824.0,861.05,575.5,900
44.0,-14324.0,926.22,576.0,900
45.0,-13824.0,935.73,576.5,900
46.0,-13324.0,894.67,577.0,900
47.0,-12824.0,874.82,577.5,900
48.0,-12324.0,905.55,578.0,900
49.0,-11824.0,914.17,578.5,900
50.0,-11324.0,991.61,579.0,900
51.0,-10824.0,1027.32,579.5,900
