Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm)
3.0,10320.0,-55.24,338.5,655
4.0,10820.0,-37.56,339.0,655
5.0,11320.0,-7.17,339.5,655
6.0,11820.0,35.24,340.0,655
7.0,12320.0,62.24,340.5,655
8.0,12820.0,103.99,341.0,655
9.0,13320.0,143.76,341.5,655
10.0,13820.0,193.88,342.0,655
11.0,14320.0,251.79,342.5,655
12.0,14820.0,310.53,343.0,655
13.0,15320.0,375.2,343.5,655
14.0,15820.0,457.65,344.0,655
15.0,16320.0,523.29,344.5,655
16.0,16820.0,594.5,345.0,655
17.0,17320.0,657.09,345.5,655
18.0,17820.0,735.42,346.0,655
19.0,18320.0,797.58,346.5,655
20.0,18820.0,859.67,347.0,655
21.0,19320.0,924.1,347.5,655
22.0,19820.0,1001.04,348.0,655
