Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm)
2.0,27996.0,-17.78,946.0,595
3.0,28496.0,-18.07,946.5,595
4.0,28996.0,-3.06,947.0,595
5.0,29496.0,22.38,947.5,595
6.0,29996.0,49.3,948.0,595
7.0,30496.0,76.59,948.5,595
8.0,30996.0,106.0,949.0,595
9.0,31496.0,135.76,949.5,595
10.0,31996.0,167.38,950.0,595
11.0,32496.0,199.55,950.5,595
12.0,-32540.0,233.14,951.0,595
13.0,-32040.0,265.25,951.5,595
14.0,-31540.0,295.41,952.0,595
15.0,-31040.0,328.63,952.5,595
16.0,-30540.0,348.08,953.0,595
17.0,-30040.0,383.13,953.5,595
18.0,-29540.0,417.31,954.0,595
19.0,-29040.0,449.08,954.5,595
20.0,-28540.0,448.4,955.0,595
21.0,-28040.0,479.9,955.5,595
22.0,-27540.0,513.86,956.0,595
23.0,-27040.0,545.11,956.5,595
24.0,-26540.0,564.45,957.0,595
25.0,-26040.0,589.52,957.5,595
26.0,-25540.0,618.61,958.0,595
27.0,-25040.0,646.45,958.5,595
28.0,-24540.0,674.34,959.0,595
29.0,-24040.0,694.86,959.5,595
30.0,-23540.0,719.25,960.0,595
31.0,-23040.0,746.17,960.5,595
32.0,-22540.0,782.79,961.0,595
33.0,-22040.0,809.69,961.5,595
34.0,-21540.0,841.83,962.0,595
35.0,-21040.0,870.97,962.5,595
36.0,-20540.0,889.37,963.0,595
37.0,-20040.0,899.22,963.5,595
38.0,-19540.0,901.41,964.0,595
39.0,-19040.0,914.7,964.5,595
40.0,-18540.0,931.68,965.0,595
41.0,-18040.0,950.98,965.5,595
42.0,-17540.0,971.8,966.0,595
43.0,-17040.0,981.86,966.5,595
44.0,-16540.0,995.46,967.0,595
45.0,-16040.0,1009.91,967.5,595
