Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm)
2.0,28140.0,-54.63,684.0,700
3.0,28640.0,-52.18,684.5,700
4.0,29140.0,-54.81,685.0,700
5.0,29640.0,-53.9,685.5,700
6.0,30140.0,-54.21,686.0,700
7.0,30640.0,-53.04,686.5,700
8.0,31140.0,-53.49,687.0,700
9.0,31640.0,-52.01,687.5,700
10.0,32140.0,-52.44,688.0,700
11.0,32640.0,-46.34,688.5,700
12.0,-32396.0,-13.78,689.0,700
13.0,-31896.0,18.94,689.5,700
14.0,-31396.0,51.47,690.0,700
15.0,-30896.0,88.55,690.5,700
16.0,-30396.0,123.97,691.0,700
17.0,-29896.0,161.01,691.5,700
18.0,-29396.0,184.57,692.0,700
19.0,-28896.0,201.77,692.5,700
20.0,-28396.0,221.7,693.0,700
21.0,-27896.0,232.48,693.5,700
22.0,-27396.0,240.48,694.0,700
23.0,-26896.0,237.6,694.5,700
24.0,-26396.0,248.61,695.0,700
25.0,-25896.0,258.28,695.5,700
26.0,-25396.0,266.07,696.0,700
27.0,-24896.0,275.72,696.5,700
28.0,-24396.0,285.34,697.0,700
29.0,-23896.0,293.61,697.5,700
30.0,-23396.0,307.45,698.0,700
31.0,-22896.0,321.13,698.5,700
32.0,-22396.0,340.86,699.0,700
33.0,-21896.0,341.06,699.5,700
34.0,-21396.0,358.87,700.0,700
35.0,-20896.0,365.57,700.5,700
36.0,-20396.0,375.94,701.0,700
37.0,-19896.0,372.14,701.5,700
38.0,-19396.0,382.62,702.0,700
39.0,-18896.0,394.98,702.5,700
40.0,-18396.0,404.78,703.0,700
41.0,-17896.0,419.79,703.5,700
42.0,-17396.0,427.0,704.0,700
43.0,-16896.0,448.58,704.5,700
44.0,-16396.0,463.51,705.0,700
45.0,-15896.0,479.29,705.5,700
46.0,-15396.0,493.46,706.0,700
47.0,-14896.0,515.39,706.5,700
48.0,-14396.0,537.17,707.0,700
49.0,-13896.0,556.16,707.5,700
50.0,-13396.0,577.1,708.0,700
51.0,-12896.0,595.2,708.5,700
52.0,-12396.0,623.95,709.0,700
53.0,-11896.0,651.96,709.5,700
54.0,-11396.0,673.6,710.0,700
55.0,-10896.0,698.95,710.5,700
56.0,-10396.0,722.84,711.0,700
57.0,-9896.0,743.7,711.5,700
58.0,-9396.0,773.08,712.0,700
59.0,-8896.0,797.04,712.5,700
60.0,-8396.0,822.01,713.0,700
61.0,-7896.0,847.02,713.5,700
62.0,-7396.0,871.88,714.0,700
63.0,-6896.0,897.15,714.5,700
64.0,-6396.0,923.05,715.0,700
65.0,-5896.0,949.79,715.5,700
66.0,-5396.0,975.12,716.0,700
67.0,-4896.0,1001.77,716.5,700
