Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm)
3.0,-14540.0,12.19,969.0,720
4.0,-14040.0,28.78,969.5,720
5.0,-13540.0,48.12,970.0,720
6.0,-13040.0,50.34,970.5,720
7.0,-12540.0,71.57,971.0,720
8.0,-12040.0,84.69,971.5,720
9.0,-11540.0,110.72,972.0,720
10.0,-11040.0,122.83,972.5,720
11.0,-10540.0,134.69,973.0,720
12.0,-10040.0,153.11,973.5,720
13.0,-9540.0,140.45,974.0,720
14.0,-9040.0,169.13,974.5,720
15.0,-8540.0,178.41,975.0,720
16.0,-8040.0,205.42,975.5,720
17.0,-7540.0,207.9,976.0,720
18.0,-7040.0,234.42,976.5,720
19.0,-6540.0,251.92,977.0,720
20.0,-6040.0,271.35,977.5,720
21.0,-5540.0,255.72,978.0,720
22.0,-5040.0,276.9,978.5,720
23.0,-4540.0,291.97,979.0,720
24.0,-4040.0,315.99,979.5,720
25.0,-3540.0,335.99,980.0,720
26.0,-3040.0,342.86,980.5,720
27.0,-2540.0,369.18,981.0,720
28.0,-2040.0,387.73,981.5,720
29.0,-1540.0,400.13,982.0,720
30.0,-1040.0,416.17,982.5,720
31.0,-540.0,435.72,983.0,720
32.0,-40.0,454.03,983.5,720
33.0,460.0,470.17,984.0,720
34.0,960.0,490.0,984.5,720
35.0,1460.0,507.99,985.0,720
36.0,1960.0,525.44,985.5,720
37.0,2460.0,542.56,986.0,720
38.0,2960.0,465.64,986.5,720
39.0,3460.0,485.1,987.0,720
40.0,3960.0,509.33,987.5,720
41.0,4460.0,526.83,988.0,720
42.0,4960.0,548.39,988.5,720
43.0,5460.0,565.92,989.0,720
44.0,5960.0,581.65,989.5,720
45.0,6460.0,586.21,990.0,720
46.0,6960.0,595.02,990.5,720
47.0,7460.0,604.33,991.0,720
48.0,7960.0,614.48,991.5,720
49.0,8460.0,604.43,992.0,720
50.0,8960.0,616.79,992.5,720
51.0,9460.0,624.82,993.0,720
52.0,9960.0,635.56,993.5,720
53.0,10460.0,645.69,994.0,720
54.0,10960.0,654.51,994.5,720
55.0,11460.0,662.75,995.0,720
56.0,11960.0,671.42,995.5,720
57.0,12460.0,675.52,996.0,720
58.0,12960.0,681.73,996.5,720
59.0,13460.0,646.15,997.0,720
60.0,13960.0,655.83,997.5,720
61.0,14460.0,665.44,998.0,720
62.0,14960.0,675.21,998.5,720
63.0,15460.0,684.69,999.0,720
64.0,15960.0,694.59,999.5,720
65.0,16460.0,704.47,1000.0,720
66.0,16960.0,712.87,1000.5,720
67.0,17460.0,720.92,1001.0,720
68.0,17960.0,729.94,1001.5,720
69.0,18460.0,741.29,1002.0,720
70.0,18960.0,745.62,1002.5,720
71.0,19460.0,756.49,1003.0,720
72.0,19960.0,763.4,1003.5,720
73.0,20460.0,773.47,1004.0,720
74.0,20960.0,780.76,1004.5,720
75.0,21460.0,790.95,1005.0,720
76.0,21960.0,801.52,1005.5,720
77.0,22460.0,806.08,1006.0,720
78.0,22960.0,813.57,1006.5,720
79.0,23460.0,824.01,1007.0,720
80.0,23960.0,832.67,1007.5,720
81.0,24460.0,843.35,1008.0,720
82.0,24960.0,851.14,1008.5,720
83.0,25460.0,858.55,1009.0,720
84.0,25960.0,867.6,1009.5,720
85.0,26460.0,874.2,1010.0,720
86.0,26960.0,882.32,1010.5,720
87.0,27460.0,891.21,1011.0,720
88.0,27960.0,900.25,1011.5,720
89.0,28460.0,908.72,1012.0,720
