Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm)
2.0,-14288.0,-36.94,510.5,1085
3.0,-13788.0,-36.4,511.0,1085
4.0,-13288.0,-35.26,511.5,1085
5.0,-12788.0,-32.49,512.0,1085
6.0,-12288.0,-37.17,512.5,1085
7.0,-11788.0,-37.49,513.0,1085
8.0,-11288.0,-38.92,513.5,1085
9.0,-10788.0,-31.23,514.0,1085
10.0,-10288.0,-8.9,514.5,1085
11.0,-9788.0,-6.43,515.0,1085
12.0,-9288.0,15.74,515.5,1085
13.0,-8788.0,24.6,516.0,1085
14.0,-8288.0,29.85,516.5,1085
15.0,-7788.0,35.1,517.0,1085
16.0,-7288.0,46.58,517.5,1085
17.0,-6788.0,63.41,518.0,1085
18.0,-6288.0,75.68,518.5,1085
19.0,-5788.0,82.45,519.0,1085
20.0,-5288.0,70.77,519.5,1085
21.0,-4788.0,82.04,520.0,1085
22.0,-4288.0,89.98,520.5,1085
23.0,-3788.0,106.44,521.0,1085
24.0,-3288.0,122.11,521.5,1085
25.0,-2788.0,131.45,522.0,1085
26.0,-2288.0,139.25,522.5,1085
27.0,-1788.0,161.6,523.0,1085
28.0,-1288.0,147.16,523.5,1085
29.0,-788.0,155.91,524.0,1085
30.0,-288.0,136.01,524.5,1085
31.0,212.0,155.66,525.0,1085
32.0,712.0,172.44,525.5,1085
33.0,1212.0,187.72,526.0,1085
34.0,1712.0,214.39,526.5,1085
35.0,2212.0,219.61,527.0,1085
36.0,2712.0,239.55,527.5,1085
37.0,3212.0,240.67,528.0,1085
38.0,3712.0,257.55,528.5,1085
39.0,4212.0,286.44,529.0,1085
40.0,4712.0,292.42,529.5,1085
41.0,5212.0,305.34,530.0,1085
42.0,5712.0,313.02,530.5,1085
43.0,6212.0,325.35,531.0,1085
44.0,6712.0,340.46,531.5,1085
45.0,7212.0,352.94,532.0,1085
46.0,7712.0,372.22,532.5,1085
47.0,8212.0,383.63,533.0,1085
48.0,8712.0,395.05,533.5,1085
49.0,9212.0,418.31,534.0,1085
50.0,9712.0,431.49,534.5,1085
51.0,10212.0,436.87,535.0,1085
52.0,10712.0,443.0,535.5,1085
53.0,11212.0,453.37,536.0,1085
54.0,11712.0,449.21,536.5,1085
55.0,12212.0,447.14,537.0,1085
56.0,12712.0,462.14,537.5,1085
57.0,13212.0,473.74,538.0,1085
58.0,13712.0,467.98,538.5,1085
59.0,14212.0,468.28,539.0,1085
60.0,14712.0,495.6,539.5,1085
61.0,15212.0,478.02,540.0,1085
62.0,15712.0,491.03,540.5,1085
63.0,16212.0,540.2,541.0,1085
64.0,16712.0,563.2,541.5,1085
65.0,17212.0,547.07,542.0,1085
66.0,17712.0,474.61,542.5,1085
67.0,18212.0,499.63,543.0,1085
68.0,18712.0,511.12,543.5,1085
69.0,19212.0,526.59,544.0,1085
70.0,19712.0,540.61,544.5,1085
71.0,20212.0,518.3,545.0,1085
72.0,20712.0,511.72,545.5,1085
73.0,21212.0,541.56,546.0,1085
74.0,21712.0,543.1,546.5,1085
75.0,22212.0,524.14,547.0,1085
76.0,22712.0,519.84,547.5,1085
77.0,23212.0,540.58,548.0,1085
78.0,23712.0,523.45,548.5,1085
79.0,24212.0,481.3,549.0,1085
80.0,24712.0,501.63,549.5,1085
81.0,25212.0,527.25,550.0,1085
82.0,25712.0,537.28,550.5,1085
83.0,26212.0,556.65,551.0,1085
84.0,26712.0,570.55,551.5,1085
85.0,27212.0,561.24,552.0,1085
86.0,27712.0,585.01,552.5,1085
87.0,28212.0,609.06,553.0,1085
88.0,28712.0,602.15,553.5,1085
89.0,29212.0,633.16,554.0,1085
