Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm)
2.0,17356.0,-7.69,280.0,800
3.0,17856.0,-30.27,280.5,800
4.0,18356.0,-17.09,281.0,800
5.0,18856.0,-3.29,281.5,800
6.0,19356.0,-10.43,282.0,800
7.0,19856.0,-19.09,282.5,800
8.0,20356.0,-6.79,283.0,800
9.0,20856.0,-4.61,283.5,800
10.0,21356.0,0.02,284.0,800
11.0,21856.0,5.19,284.5,800
12.0,22356.0,12.94,285.0,800
13.0,22856.0,15.89,285.5,800
14.0,23356.0,21.68,286.0,800
15.0,23856.0,25.71,286.5,800
16.0,24356.0,39.97,287.0,800
17.0,24856.0,62.2,287.5,800
18.0,25356.0,83.63,288.0,800
19.0,25856.0,102.02,288.5,800
20.0,26356.0,118.3,289.0,800
21.0,26856.0,133.8,289.5,800
22.0,27356.0,147.49,290.0,800
23.0,27856.0,161.9,290.5,800
24.0,28356.0,174.17,291.0,800
25.0,28856.0,194.51,291.5,800
26.0,29356.0,204.55,292.0,800
27.0,29856.0,221.49,292.5,800
28.0,30356.0,233.76,293.0,800
29.0,30856.0,245.97,293.5,800
30.0,31356.0,258.76,294.0,800
31.0,31856.0,272.79,294.5,800
32.0,32356.0,281.14,295.0,800
33.0,-32680.0,291.96,295.5,800
34.0,-32180.0,302.41,296.0,800
35.0,-31680.0,319.13,296.5,800
36.0,-31180.0,330.88,297.0,800
37.0,-30680.0,341.49,297.5,800
38.0,-30180.0,350.89,298.0,800
39.0,-29680.0,363.34,298.5,800
40.0,-29180.0,375.51,299.0,800
41.0,-28680.0,385.56,299.5,800
42.0,-28180.0,396.36,300.0,800
43.0,-27680.0,410.12,300.5,800
44.0,-27180.0,426.3,301.0,800
45.0,-26680.0,438.44,301.5,800
46.0,-26180.0,454.75,302.0,800
47.0,-25680.0,462.92,302.5,800
48.0,-25180.0,479.19,303.0,800
49.0,-24680.0,489.36,303.5,800
50.0,-24180.0,503.12,304.0,800
51.0,-23680.0,512.0,304.5,800
52.0,-23180.0,525.49,305.0,800
53.0,-22680.0,534.83,305.5,800
54.0,-22180.0,548.99,306.0,800
55.0,-21680.0,562.52,306.5,800
56.0,-21180.0,572.26,307.0,800
57.0,-20680.0,587.78,307.5,800
58.0,-20180.0,597.45,308.0,800
59.0,-19680.0,611.78,308.5,800
60.0,-19180.0,624.13,309.0,800
61.0,-18680.0,634.7,309.5,800
62.0,-18180.0,648.02,310.0,800
63.0,-17680.0,660.84,310.5,800
64.0,-17180.0,669.04,311.0,800
65.0,-16680.0,685.67,311.5,800
66.0,-16180.0,693.15,312.0,800
67.0,-15680.0,705.82,312.5,800
68.0,-15180.0,716.14,313.0,800
69.0,-14680.0,725.04,313.5,800
70.0,-14180.0,738.51,314.0,800
71.0,-13680.0,750.19,314.5,800
72.0,-13180.0,760.58,315.0,800
73.0,-12680.0,771.55,315.5,800
74.0,-12180.0,787.85,316.0,800
75.0,-11680.0,802.39,316.5,800
76.0,-11180.0,806.03,317.0,800
77.0,-10680.0,820.94,317.5,800
78.0,-10180.0,827.53,318.0,800
79.0,-9680.0,843.88,318.5,800
80.0,-9180.0,849.01,319.0,800
81.0,-8680.0,863.79,319.5,800
82.0,-8180.0,876.47,320.0,800
83.0,-7680.0,890.89,320.5,800
84.0,-7180.0,893.53,321.0,800
85.0,-6680.0,906.12,321.5,800
86.0,-6180.0,919.48,322.0,800
87.0,-5680.0,934.13,322.5,800
88.0,-5180.0,943.92,323.0,800
89.0,-4680.0,954.92,323.5,800
