Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm)
2.0,-27932.0,-17.04,759.0,745
3.0,-27432.0,-7.74,759.5,745
4.0,-26932.0,0.14,760.0,745
5.0,-26432.0,13.81,760.5,745
6.0,-25932.0,14.59,761.0,745
7.0,-25432.0,28.43,761.5,745
8.0,-24932.0,41.39,762.0,745
9.0,-24432.0,59.57,762.5,745
10.0,-23932.0,75.82,763.0,745
11.0,-23432.0,91.59,763.5,745
12.0,-22932.0,107.5,764.0,745
13.0,-22432.0,113.36,764.5,745
14.0,-21932.0,125.47,765.0,745
15.0,-21432.0,135.42,765.5,745
16.0,-20932.0,129.13,766.0,745
17.0,-20432.0,148.83,766.5,745
18.0,-19932.0,158.61,767.0,745
19.0,-19432.0,172.77,767.5,745
20.0,-18932.0,178.42,768.0,745
21.0,-18432.0,189.15,768.5,745
22.0,-17932.0,195.52,769.0,745
23.0,-17432.0,204.75,769.5,745
24.0,-16932.0,218.03,770.0,745
25.0,-16432.0,227.1,770.5,745
26.0,-15932.0,209.63,771.0,745
27.0,-15432.0,224.75,771.5,745
28.0,-14932.0,220.48,772.0,745
29.0,-14432.0,225.81,772.5,745
30.0,-13932.0,231.83,773.0,745
31.0,-13432.0,253.4,773.5,745
32.0,-12932.0,266.53,774.0,745
33.0,-12432.0,257.37,774.5,745
34.0,-11932.0,278.98,775.0,745
35.0,-11432.0,284.48,775.5,745
36.0,-10932.0,269.12,776.0,745
37.0,-10432.0,285.6,776.5,745
38.0,-9932.0,298.65,777.0,745
39.0,-9432.0,305.06,777.5,745
40.0,-8932.0,325.89,778.0,745
41.0,-8432.0,341.72,778.5,745
42.0,-7932.0,345.03,779.0,745
43.0,-7432.0,338.38,779.5,745
44.0,-6932.0,361.02,780.0,745
45.0,-6432.0,374.77,780.5,745
46.0,-5932.0,393.22,781.0,745
47.0,-5432.0,394.22,781.5,745
48.0,-4932.0,341.11,782.0,745
49.0,-4432.0,363.29,782.5,745
50.0,-3932.0,374.91,783.0,745
51.0,-3432.0,395.58,783.5,745
52.0,-2932.0,396.93,784.0,745
53.0,-2432.0,408.05,784.5,745
54.0,-1932.0,421.34,785.0,745
55.0,-1432.0,429.65,785.5,745
56.0,-932.0,435.22,786.0,745
57.0,-432.0,453.2,786.5,745
58.0,68.0,471.18,787.0,745
59.0,568.0,482.22,787.5,745
60.0,1068.0,470.63,788.0,745
61.0,1568.0,471.81,788.5,745
62.0,2068.0,482.08,789.0,745
63.0,2568.0,433.26,789.5,745
64.0,3068.0,463.22,790.0,745
65.0,3568.0,455.24,790.5,745
66.0,4068.0,488.71,791.0,745
67.0,4568.0,511.2,791.5,745
68.0,5068.0,530.36,792.0,745
69.0,5568.0,479.91,792.5,745
70.0,6068.0,472.74,793.0,745
71.0,6568.0,488.8,793.5,745
72.0,7068.0,486.83,794.0,745
73.0,7568.0,491.49,794.5,745
74.0,8068.0,504.03,795.0,745
75.0,8568.0,513.02,795.5,745
76.0,9068.0,524.13,796.0,745
77.0,9568.0,536.17,796.5,745
78.0,10068.0,549.09,797.0,745
79.0,10568.0,561.02,797.5,745
80.0,11068.0,573.73,798.0,745
81.0,11568.0,589.05,798.5,745
82.0,12068.0,603.89,799.0,745
83.0,12568.0,620.61,799.5,745
84.0,13068.0,639.06,800.0,745
85.0,13568.0,655.92,800.5,745
86.0,14068.0,673.54,801.0,745
87.0,14568.0,690.77,801.5,745
88.0,15068.0,701.95,802.0,745
89.0,15568.0,717.64,802.5,745
