Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm)
2.0,-4468.0,27.11,848.0,785
3.0,-3968.0,41.59,848.5,785
4.0,-3468.0,46.44,849.0,785
5.0,-2968.0,76.24,849.5,785
6.0,-2468.0,102.36,850.0,785
7.0,-1968.0,129.2,850.5,785
8.0,-1468.0,167.35,851.0,785
9.0,-968.0,185.18,851.5,785
10.0,-468.0,217.79,852.0,785
11.0,32.0,241.23,852.5,785
12.0,532.0,267.58,853.0,785
13.0,1032.0,302.59,853.5,785
14.0,1532.0,324.85,854.0,785
15.0,2032.0,345.71,854.5,785
16.0,2532.0,379.66,855.0,785
17.0,3032.0,410.11,855.5,785
18.0,3532.0,437.58,856.0,785
19.0,4032.0,460.39,856.5,785
20.0,4532.0,488.05,857.0,785
21.0,5032.0,520.83,857.5,785
22.0,5532.0,550.67,858.0,785
23.0,6032.0,576.73,858.5,785
24.0,6532.0,605.62,859.0,785
25.0,7032.0,638.72,859.5,785
26.0,7532.0,666.92,860.0,785
27.0,8032.0,695.26,860.5,785
28.0,8532.0,717.35,861.0,785
29.0,9032.0,750.87,861.5,785
30.0,9532.0,781.12,862.0,785
31.0,10032.0,807.11,862.5,785
32.0,10532.0,834.03,863.0,785
33.0,11032.0,860.44,863.5,785
34.0,11532.0,884.39,864.0,785
35.0,12032.0,916.14,864.5,785
36.0,12532.0,934.74,865.0,785
37.0,13032.0,963.07,865.5,785
38.0,13532.0,993.68,866.0,785
39.0,14032.0,1020.27,866.5,785
