Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm)
2.0,25568.0,-9.73,812.5,590
3.0,26068.0,-10.67,813.0,590
4.0,26568.0,2.23,813.5,590
5.0,27068.0,9.82,814.0,590
6.0,27568.0,14.72,814.5,590
7.0,28068.0,19.16,815.0,590
8.0,28568.0,32.12,815.5,590
9.0,29068.0,37.62,816.0,590
10.0,29568.0,46.87,816.5,590
11.0,30068.0,62.11,817.0,590
12.0,30568.0,71.35,817.5,590
13.0,31068.0,82.52,818.0,590
14.0,31568.0,94.51,818.5,590
15.0,32068.0,106.39,819.0,590
16.0,32568.0,113.1,819.5,590
17.0,-32468.0,123.15,820.0,590
18.0,-31968.0,134.56,820.5,590
19.0,-31468.0,141.17,821.0,590
20.0,-30968.0,152.37,821.5,590
21.0,-30468.0,163.62,822.0,590
22.0,-29968.0,177.5,822.5,590
23.0,-29468.0,185.42,823.0,590
24.0,-28968.0,192.44,823.5,590
25.0,-28468.0,198.45,824.0,590
26.0,-27968.0,207.96,824.5,590
27.0,-27468.0,216.58,825.0,590
28.0,-26968.0,229.52,825.5,590
29.0,-26468.0,239.29,826.0,590
30.0,-25968.0,246.89,826.5,590
31.0,-25468.0,253.88,827.0,590
32.0,-24968.0,264.1,827.5,590
33.0,-24468.0,273.11,828.0,590
34.0,-23968.0,284.27,828.5,590
35.0,-23468.0,295.3,829.0,590
36.0,-22968.0,305.27,829.5,590
37.0,-22468.0,315.08,830.0,590
38.0,-21968.0,326.93,830.5,590
39.0,-21468.0,340.35,831.0,590
40.0,-20968.0,351.79,831.5,590
41.0,-20468.0,361.2,832.0,590
42.0,-19968.0,374.87,832.5,590
43.0,-19468.0,387.14,833.0,590
44.0,-18968.0,399.41,833.5,590
45.0,-18468.0,411.91,834.0,590
46.0,-17968.0,419.45,834.5,590
47.0,-17468.0,428.09,835.0,590
48.0,-16968.0,439.98,835.5,590
49.0,-16468.0,452.39,836.0,590
50.0,-15968.0,464.66,836.5,590
51.0,-15468.0,475.85,837.0,590
52.0,-14968.0,487.19,837.5,590
53.0,-14468.0,497.69,838.0,590
54.0,-13968.0,507.63,838.5,590
55.0,-13468.0,515.99,839.0,590
56.0,-12968.0,528.73,839.5,590
57.0,-12468.0,538.08,840.0,590
58.0,-11968.0,547.97,840.5,590
59.0,-11468.0,553.19,841.0,590
60.0,-10968.0,564.18,841.5,590
61.0,-10468.0,578.19,842.0,590
62.0,-9968.0,590.85,842.5,590
63.0,-9468.0,601.65,843.0,590
64.0,-8968.0,610.98,843.5,590
65.0,-8468.0,622.37,844.0,590
66.0,-7968.0,634.6,844.5,590
67.0,-7468.0,644.68,845.0,590
68.0,-6968.0,653.41,845.5,590
69.0,-6468.0,665.86,846.0,590
70.0,-5968.0,674.34,846.5,590
71.0,-5468.0,685.97,847.0,590
72.0,-4968.0,696.09,847.5,590
73.0,-4468.0,705.56,848.0,590
74.0,-3968.0,719.02,848.5,590
75.0,-3468.0,729.67,849.0,590
76.0,-2968.0,740.93,849.5,590
77.0,-2468.0,751.36,850.0,590
78.0,-1968.0,762.03,850.5,590
79.0,-1468.0,772.68,851.0,590
80.0,-968.0,782.71,851.5,590
81.0,-468.0,793.0,852.0,590
82.0,32.0,804.15,852.5,590
83.0,532.0,816.3,853.0,590
84.0,1032.0,823.89,853.5,590
85.0,1532.0,834.85,854.0,590
86.0,2032.0,845.16,854.5,590
87.0,2532.0,856.58,855.0,590
88.0,3032.0,868.27,855.5,590
89.0,3532.0,877.27,856.0,590
