Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm)
2.0,-5180.0,-104.28,323.0,765
3.0,-4680.0,-81.13,323.5,765
4.0,-4180.0,-32.96,324.0,765
5.0,-3680.0,2.25,324.5,765
6.0,-3180.0,50.59,325.0,765
7.0,-2680.0,89.53,325.5,765
8.0,-2180.0,136.71,326.0,765
9.0,-1680.0,184.07,326.5,765
10.0,-1180.0,235.4,327.0,765
11.0,-680.0,282.0,327.5,765
12.0,-180.0,325.01,328.0,765
13.0,320.0,373.06,328.5,765
14.0,820.0,421.39,329.0,765
15.0,1320.0,455.79,329.5,765
16.0,1820.0,493.12,330.0,765
17.0,2320.0,529.88,330.5,765
18.0,2820.0,579.82,331.0,765
19.0,3320.0,616.44,331.5,765
20.0,3820.0,652.78,332.0,765
21.0,4320.0,690.18,332.5,765
22.0,4820.0,724.55,333.0,765
23.0,5320.0,768.91,333.5,765
24.0,5820.0,805.48,334.0,765
25.0,6320.0,840.95,334.5,765
26.0,6820.0,875.37,335.0,765
27.0,7320.0,915.94,335.5,765
28.0,7820.0,950.9,336.0,765
29.0,8320.0,986.26,336.5,765
30.0,8820.0,1020.28,337.0,765
