Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm)
2.0,-22004.0,38.79,896.0,700
3.0,-21504.0,39.12,896.5,700
4.0,-21004.0,55.43,897.0,700
5.0,-20504.0,81.72,897.5,700
6.0,-20004.0,111.61,898.0,700
7.0,-19504.0,126.54,898.5,700
8.0,-19004.0,139.54,899.0,700
9.0,-18504.0,152.46,899.5,700
10.0,-18004.0,159.15,900.0,700
11.0,-17504.0,170.56,900.5,700
12.0,-17004.0,183.12,901.0,700
13.0,-16504.0,195.51,901.5,700
14.0,-16004.0,207.8,902.0,700
15.0,-15504.0,217.97,902.5,700
16.0,-15004.0,228.34,903.0,700
17.0,-14504.0,237.06,903.5,700
18.0,-14004.0,245.97,904.0,700
19.0,-13504.0,253.52,904.5,700
20.0,-13004.0,266.36,905.0,700
21.0,-12504.0,286.06,905.5,700
22.0,-12004.0,307.74,906.0,700
23.0,-11504.0,324.25,906.5,700
24.0,-11004.0,346.11,907.0,700
25.0,-10504.0,361.91,907.5,700
26.0,-10004.0,367.12,908.0,700
27.0,-9504.0,387.24,908.5,700
28.0,-9004.0,410.04,909.0,700
29.0,-8504.0,432.24,909.5,700
30.0,-8004.0,473.58,910.0,700
31.0,-7504.0,495.32,910.5,700
32.0,-7004.0,524.26,911.0,700
33.0,-6504.0,539.27,911.5,700
34.0,-6004.0,553.14,912.0,700
35.0,-5504.0,564.27,912.5,700
36.0,-5004.0,573.81,913.0,700
37.0,-4504.0,590.53,913.5,700
38.0,-4004.0,615.78,914.0,700
39.0,-3504.0,640.63,914.5,700
40.0,-3004.0,657.09,915.0,700
41.0,-2504.0,676.53,915.5,700
42.0,-2004.0,693.64,916.0,700
43.0,-1504.0,714.09,916.5,700
44.0,-1004.0,734.6,917.0,700
45.0,-504.0,751.58,917.5,700
46.0,-4.0,760.74,918.0,700
47.0,496.0,786.23,918.5,700
48.0,996.0,812.68,919.0,700
49.0,1496.0,831.98,919.5,700
50.0,1996.0,855.13,920.0,700
51.0,2496.0,875.36,920.5,700
52.0,2996.0,890.04,921.0,700
53.0,3496.0,905.21,921.5,700
54.0,3996.0,927.55,922.0,700
55.0,4496.0,948.48,922.5,700
56.0,4996.0,970.93,923.0,700
57.0,5496.0,993.29,923.5,700
58.0,5996.0,1012.38,924.0,700
