Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm)
2.0,500.0,-27.46,1.0,730
3.0,1000.0,-26.43,1.5,730
4.0,1500.0,-24.38,2.0,730
5.0,2000.0,-23.86,2.5,730
6.0,2500.0,-20.51,3.0,730
7.0,3000.0,-17.9,3.5,730
8.0,3500.0,-16.08,4.0,730
9.0,4000.0,-15.43,4.5,730
10.0,4500.0,-11.33,5.0,730
11.0,5000.0,-6.09,5.5,730
12.0,5500.0,-2.39,6.0,730
13.0,6000.0,0.58,6.5,730
14.0,6500.0,4.97,7.0,730
15.0,7000.0,7.95,7.5,730
16.0,7500.0,9.18,8.0,730
17.0,8000.0,14.76,8.5,730
18.0,8500.0,16.37,9.0,730
19.0,9000.0,22.32,9.5,730
20.0,9500.0,24.31,10.0,730
21.0,10000.0,28.38,10.5,730
22.0,10500.0,32.32,11.0,730
23.0,11000.0,39.73,11.5,730
24.0,11500.0,38.33,12.0,730
25.0,12000.0,43.33,12.5,730
26.0,12500.0,49.01,13.0,730
27.0,13000.0,52.51,13.5,730
28.0,13500.0,59.81,14.0,730
29.0,14000.0,66.66,14.5,730
30.0,14500.0,72.27,15.0,730
31.0,15000.0,70.99,15.5,730
32.0,15500.0,79.08,16.0,730
33.0,16000.0,82.02,16.5,730
34.0,16500.0,86.96,17.0,730
35.0,17000.0,91.38,17.5,730
36.0,17500.0,97.62,18.0,730
37.0,18000.0,107.22,18.5,730
38.0,18500.0,114.78,19.0,730
39.0,19000.0,118.27,19.5,730
40.0,19500.0,122.34,20.0,730
41.0,20000.0,130.79,20.5,730
42.0,20500.0,138.61,21.0,730
43.0,21000.0,143.48,21.5,730
44.0,21500.0,149.48,22.0,730
45.0,22000.0,151.93,22.5,730
46.0,22500.0,156.93,23.0,730
47.0,23000.0,168.79,23.5,730
48.0,23500.0,176.9,24.0,730
49.0,24000.0,171.93,24.5,730
50.0,24500.0,181.37,25.0,730
51.0,25000.0,182.3,25.5,730
52.0,25500.0,184.61,26.0,730
53.0,26000.0,200.43,26.5,730
54.0,26500.0,200.89,27.0,730
55.0,27000.0,205.74,27.5,730
56.0,27500.0,210.46,28.0,730
57.0,28000.0,220.19,28.5,730
58.0,28500.0,224.44,29.0,730
59.0,29000.0,236.71,29.5,730
60.0,29500.0,238.59,30.0,730
61.0,30000.0,240.31,30.5,730
62.0,30500.0,249.09,31.0,730
63.0,31000.0,257.29,31.5,730
64.0,31500.0,267.43,32.0,730
65.0,32000.0,272.08,32.5,730
66.0,32500.0,278.5,33.0,730
67.0,-32536.0,284.63,33.5,730
68.0,-32036.0,299.08,34.0,730
69.0,-31536.0,315.06,34.5,730
70.0,-31036.0,315.71,35.0,730
71.0,-30536.0,313.74,35.5,730
72.0,-30036.0,328.37,36.0,730
73.0,-29536.0,331.38,36.5,730
74.0,-29036.0,353.07,37.0,730
75.0,-28536.0,365.37,37.5,730
76.0,-28036.0,372.62,38.0,730
77.0,-27536.0,372.65,38.5,730
78.0,-27036.0,380.32,39.0,730
79.0,-26536.0,388.36,39.5,730
80.0,-26036.0,395.15,40.0,730
81.0,-25536.0,403.5,40.5,730
82.0,-25036.0,410.27,41.0,730
83.0,-24536.0,417.14,41.5,730
84.0,-24036.0,422.14,42.0,730
85.0,-23536.0,431.97,42.5,730
86.0,-23036.0,440.76,43.0,730
87.0,-22536.0,446.31,43.5,730
88.0,-22036.0,453.71,44.0,730
89.0,-21536.0,461.01,44.5,730
