Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm)
2.0,-27144.0,-55.17,235.5,840
3.0,-26644.0,-53.66,236.0,840
4.0,-26144.0,-54.83,236.5,840
5.0,-25644.0,-55.58,237.0,840
6.0,-25144.0,-55.91,237.5,840
7.0,-24644.0,-53.58,238.0,840
8.0,-24144.0,-54.88,238.5,840
9.0,-23644.0,-50.51,239.0,840
10.0,-23144.0,-47.79,239.5,840
11.0,-22644.0,-46.07,240.0,840
12.0,-22144.0,-45.21,240.5,840
13.0,-21644.0,-44.36,241.0,840
14.0,-21144.0,-44.67,241.5,840
15.0,-20644.0,-43.52,242.0,840
16.0,-20144.0,-43.28,242.5,840
17.0,-19644.0,-43.58,243.0,840
18.0,-19144.0,-42.45,243.5,840
19.0,-18644.0,-41.95,244.0,840
20.0,-18144.0,-41.97,244.5,840
21.0,-17644.0,-41.03,245.0,840
22.0,-17144.0,-41.02,245.5,840
23.0,-16644.0,-40.71,246.0,840
24.0,-16144.0,-40.15,246.5,840
25.0,-15644.0,-39.86,247.0,840
26.0,-15144.0,-39.55,247.5,840
27.0,-14644.0,-41.37,248.0,840
28.0,-14144.0,-39.92,248.5,840
29.0,-13644.0,-39.0,249.0,840
30.0,-13144.0,-39.13,249.5,840
31.0,-12644.0,-39.03,250.0,840
32.0,-12144.0,-38.7,250.5,840
33.0,-11644.0,-38.77,251.0,840
34.0,-11144.0,-38.28,251.5,840
35.0,-10644.0,-37.27,252.0,840
36.0,-10144.0,-37.26,252.5,840
37.0,-9644.0,-36.69,253.0,840
38.0,-9144.0,-35.54,253.5,840
39.0,-8644.0,-35.18,254.0,840
40.0,-8144.0,-35.05,254.5,840
41.0,-7644.0,-35.04,255.0,840
42.0,-7144.0,-34.47,255.5,840
43.0,-6644.0,-34.13,256.0,840
44.0,-6144.0,-33.01,256.5,840
45.0,-5644.0,-32.32,257.0,840
46.0,-5144.0,-32.1,257.5,840
47.0,-4644.0,-30.57,258.0,840
48.0,-4144.0,-29.46,258.5,840
49.0,-3644.0,-27.84,259.0,840
50.0,-3144.0,-27.5,259.5,840
51.0,-2644.0,-27.61,260.0,840
52.0,-2144.0,-26.63,260.5,840
53.0,-1644.0,-26.77,261.0,840
54.0,-1144.0,-26.67,261.5,840
55.0,-644.0,-27.63,262.0,840
56.0,-144.0,-27.36,262.5,840
57.0,356.0,-27.17,263.0,840
58.0,856.0,-27.22,263.5,840
59.0,1356.0,-27.18,264.0,840
60.0,1856.0,-25.52,264.5,840
61.0,2356.0,-24.97,265.0,840
62.0,2856.0,-24.8,265.5,840
63.0,3356.0,-24.47,266.0,840
64.0,3856.0,-24.83,266.5,840
65.0,4356.0,-24.84,267.0,840
66.0,4856.0,-22.81,267.5,840
67.0,5356.0,-22.91,268.0,840
68.0,5856.0,-23.95,268.5,840
69.0,6356.0,-22.84,269.0,840
70.0,6856.0,-22.23,269.5,840
71.0,7356.0,-20.64,270.0,840
72.0,7856.0,-19.56,270.5,840
73.0,8356.0,-18.45,271.0,840
74.0,8856.0,-18.52,271.5,840
75.0,9356.0,-17.62,272.0,840
76.0,9856.0,-16.76,272.5,840
77.0,10356.0,-16.91,273.0,840
78.0,10856.0,-15.97,273.5,840
79.0,11356.0,-16.07,274.0,840
80.0,11856.0,-15.52,274.5,840
81.0,12356.0,-15.73,275.0,840
82.0,12856.0,-14.68,275.5,840
83.0,13356.0,-14.51,276.0,840
84.0,13856.0,-13.45,276.5,840
85.0,14356.0,-13.43,277.0,840
86.0,14856.0,-12.73,277.5,840
87.0,15356.0,-10.81,278.0,840
88.0,15856.0,-10.32,278.5,840
89.0,16356.0,-10.06,279.0,840
