Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm)
2.0,2212.0,-67.17,527.0,800
3.0,2712.0,-60.69,527.5,800
4.0,3212.0,-46.86,528.0,800
5.0,3712.0,-39.39,528.5,800
6.0,4212.0,-22.84,529.0,800
7.0,4712.0,-10.2,529.5,800
8.0,5212.0,1.75,530.0,800
9.0,5712.0,10.24,530.5,800
10.0,6212.0,25.07,531.0,800
11.0,6712.0,36.61,531.5,800
12.0,7212.0,50.71,532.0,800
13.0,7712.0,64.09,532.5,800
14.0,8212.0,74.65,533.0,800
15.0,8712.0,90.5,533.5,800
16.0,9212.0,105.04,534.0,800
17.0,9712.0,115.61,534.5,800
18.0,10212.0,128.62,535.0,800
19.0,10712.0,125.4,535.5,800
20.0,11212.0,140.74,536.0,800
21.0,11712.0,138.79,536.5,800
22.0,12212.0,158.8,537.0,800
23.0,12712.0,174.13,537.5,800
24.0,13212.0,189.71,538.0,800
25.0,13712.0,203.05,538.5,800
26.0,14212.0,193.51,539.0,800
27.0,14712.0,211.76,539.5,800
28.0,15212.0,228.41,540.0,800
29.0,15712.0,243.24,540.5,800
30.0,16212.0,259.62,541.0,800
31.0,16712.0,273.25,541.5,800
32.0,17212.0,289.87,542.0,800
33.0,17712.0,305.27,542.5,800
34.0,18212.0,319.45,543.0,800
35.0,18712.0,337.7,543.5,800
36.0,19212.0,348.78,544.0,800
37.0,19712.0,364.83,544.5,800
38.0,20212.0,380.36,545.0,800
39.0,20712.0,394.45,545.5,800
40.0,21212.0,405.06,546.0,800
41.0,21712.0,413.06,546.5,800
42.0,22212.0,431.69,547.0,800
43.0,22712.0,445.44,547.5,800
44.0,23212.0,455.06,548.0,800
45.0,23712.0,469.26,548.5,800
46.0,24212.0,482.01,549.0,800
47.0,24712.0,503.91,549.5,800
48.0,25212.0,517.01,550.0,800
49.0,25712.0,532.59,550.5,800
50.0,26212.0,550.59,551.0,800
51.0,26712.0,554.1,551.5,800
52.0,27212.0,569.78,552.0,800
53.0,27712.0,577.08,552.5,800
54.0,28212.0,596.28,553.0,800
55.0,28712.0,614.92,553.5,800
56.0,29212.0,631.09,554.0,800
57.0,29712.0,645.67,554.5,800
58.0,30212.0,648.44,555.0,800
59.0,30712.0,661.14,555.5,800
60.0,31212.0,670.06,556.0,800
61.0,31712.0,682.47,556.5,800
62.0,32212.0,701.63,557.0,800
63.0,32712.0,709.45,557.5,800
64.0,-32324.0,726.05,558.0,800
65.0,-31824.0,737.75,558.5,800
66.0,-31324.0,752.39,559.0,800
67.0,-30824.0,766.59,559.5,800
68.0,-30324.0,782.75,560.0,800
69.0,-29824.0,795.91,560.5,800
70.0,-29324.0,814.25,561.0,800
71.0,-28824.0,820.72,561.5,800
72.0,-28324.0,831.34,562.0,800
73.0,-27824.0,841.0,562.5,800
74.0,-27324.0,860.85,563.0,800
75.0,-26824.0,875.0,563.5,800
76.0,-26324.0,875.63,564.0,800
77.0,-25824.0,876.68,564.5,800
78.0,-25324.0,895.97,565.0,800
79.0,-24824.0,918.41,565.5,800
80.0,-24324.0,930.86,566.0,800
81.0,-23824.0,947.06,566.5,800
82.0,-23324.0,964.33,567.0,800
83.0,-22824.0,969.48,567.5,800
84.0,-22324.0,985.5,568.0,800
85.0,-21824.0,1005.02,568.5,800
