Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm)
2.0,-16716.0,-16.19,377.0,685
3.0,-16216.0,-17.26,377.5,685
4.0,-15716.0,-17.9,378.0,685
5.0,-15216.0,-15.34,378.5,685
6.0,-14716.0,-0.21,379.0,685
7.0,-14216.0,38.58,379.5,685
8.0,-13716.0,83.88,380.0,685
9.0,-13216.0,133.97,380.5,685
10.0,-12716.0,167.59,381.0,685
11.0,-12216.0,194.78,381.5,685
12.0,-11716.0,203.79,382.0,685
13.0,-11216.0,207.03,382.5,685
14.0,-10716.0,211.61,383.0,685
15.0,-10216.0,217.86,383.5,685
16.0,-9716.0,221.61,384.0,685
17.0,-9216.0,224.0,384.5,685
18.0,-8716.0,227.83,385.0,685
19.0,-8216.0,232.22,385.5,685
20.0,-7716.0,236.5,386.0,685
21.0,-7216.0,240.16,386.5,685
22.0,-6716.0,244.73,387.0,685
23.0,-6216.0,248.71,387.5,685
24.0,-5716.0,251.8,388.0,685
25.0,-5216.0,255.25,388.5,685
26.0,-4716.0,256.81,389.0,685
27.0,-4216.0,261.21,389.5,685
28.0,-3716.0,266.33,390.0,685
29.0,-3216.0,272.39,390.5,685
30.0,-2716.0,277.76,391.0,685
31.0,-2216.0,282.4,391.5,685
32.0,-1716.0,288.46,392.0,685
33.0,-1216.0,294.89,392.5,685
34.0,-716.0,300.3,393.0,685
35.0,-216.0,304.42,393.5,685
36.0,284.0,310.41,394.0,685
37.0,784.0,316.42,394.5,685
38.0,1284.0,323.12,395.0,685
39.0,1784.0,328.51,395.5,685
40.0,2284.0,325.05,396.0,685
41.0,2784.0,328.76,396.5,685
42.0,3284.0,337.84,397.0,685
43.0,3784.0,345.14,397.5,685
44.0,4284.0,352.48,398.0,685
45.0,4784.0,357.48,398.5,685
46.0,5284.0,338.67,399.0,685
47.0,5784.0,344.11,399.5,685
48.0,6284.0,349.93,400.0,685
49.0,6784.0,353.85,400.5,685
50.0,7284.0,359.95,401.0,685
51.0,7784.0,364.64,401.5,685
52.0,8284.0,367.81,402.0,685
53.0,8784.0,373.06,402.5,685
54.0,9284.0,377.55,403.0,685
55.0,9784.0,382.23,403.5,685
56.0,10284.0,386.13,404.0,685
57.0,10784.0,390.84,404.5,685
58.0,11284.0,395.38,405.0,685
59.0,11784.0,400.82,405.5,685
60.0,12284.0,406.45,406.0,685
61.0,12784.0,410.47,406.5,685
62.0,13284.0,413.62,407.0,685
63.0,13784.0,416.82,407.5,685
64.0,14284.0,421.24,408.0,685
65.0,14784.0,422.77,408.5,685
66.0,15284.0,429.95,409.0,685
67.0,15784.0,432.54,409.5,685
68.0,16284.0,440.49,410.0,685
69.0,16784.0,436.17,410.5,685
70.0,17284.0,445.23,411.0,685
71.0,17784.0,452.11,411.5,685
72.0,18284.0,460.71,412.0,685
73.0,18784.0,468.12,412.5,685
74.0,19284.0,470.34,413.0,685
75.0,19784.0,479.5,413.5,685
76.0,20284.0,488.28,414.0,685
77.0,20784.0,495.88,414.5,685
78.0,21284.0,503.27,415.0,685
79.0,21784.0,509.39,415.5,685
80.0,22284.0,516.56,416.0,685
81.0,22784.0,522.12,416.5,685
82.0,23284.0,531.85,417.0,685
83.0,23784.0,536.33,417.5,685
84.0,24284.0,542.14,418.0,685
85.0,24784.0,550.39,418.5,685
86.0,25284.0,553.13,419.0,685
87.0,25784.0,555.74,419.5,685
88.0,26284.0,544.68,420.0,685
89.0,26784.0,555.71,420.5,685
