Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm)
2.0,-3680.0,-49.95,324.5,750
3.0,-3180.0,-43.63,325.0,750
4.0,-2680.0,-30.6,325.5,750
5.0,-2180.0,-14.55,326.0,750
6.0,-1680.0,2.45,326.5,750
7.0,-1180.0,12.63,327.0,750
8.0,-680.0,23.24,327.5,750
9.0,-180.0,25.23,328.0,750
10.0,320.0,42.25,328.5,750
11.0,820.0,66.19,329.0,750
12.0,1320.0,86.54,329.5,750
13.0,1820.0,78.34,330.0,750
14.0,2320.0,108.34,330.5,750
15.0,2820.0,116.19,331.0,750
16.0,3320.0,132.43,331.5,750
17.0,3820.0,143.84,332.0,750
18.0,4320.0,175.52,332.5,750
19.0,4820.0,194.76,333.0,750
20.0,5320.0,215.46,333.5,750
21.0,5820.0,229.96,334.0,750
22.0,6320.0,237.61,334.5,750
23.0,6820.0,246.5,335.0,750
24.0,7320.0,264.59,335.5,750
25.0,7820.0,279.93,336.0,750
26.0,8320.0,298.12,336.5,750
27.0,8820.0,309.36,337.0,750
28.0,9320.0,325.52,337.5,750
29.0,9820.0,335.9,338.0,750
30.0,10320.0,355.74,338.5,750
31.0,10820.0,374.92,339.0,750
32.0,11320.0,393.34,339.5,750
33.0,11820.0,404.76,340.0,750
34.0,12320.0,422.08,340.5,750
35.0,12820.0,441.18,341.0,750
36.0,13320.0,452.77,341.5,750
37.0,13820.0,469.33,342.0,750
38.0,14320.0,488.75,342.5,750
39.0,14820.0,497.4,343.0,750
40.0,15320.0,518.49,343.5,750
41.0,15820.0,535.88,344.0,750
42.0,16320.0,551.42,344.5,750
43.0,16820.0,565.84,345.0,750
44.0,17320.0,574.34,345.5,750
45.0,17820.0,592.33,346.0,750
46.0,18320.0,611.63,346.5,750
47.0,18820.0,632.24,347.0,750
48.0,19320.0,652.09,347.5,750
49.0,19820.0,667.94,348.0,750
50.0,20320.0,683.07,348.5,750
51.0,20820.0,701.63,349.0,750
52.0,21320.0,720.91,349.5,750
53.0,21820.0,734.1,350.0,750
54.0,22320.0,753.28,350.5,750
55.0,22820.0,764.71,351.0,750
56.0,23320.0,780.3,351.5,750
57.0,23820.0,791.9,352.0,750
58.0,24320.0,804.43,352.5,750
59.0,24820.0,713.21,353.0,750
60.0,25320.0,707.7,353.5,750
61.0,25820.0,739.48,354.0,750
62.0,26320.0,758.29,354.5,750
63.0,26820.0,772.12,355.0,750
64.0,27320.0,798.86,355.5,750
65.0,27820.0,808.95,356.0,750
66.0,28320.0,832.56,356.5,750
67.0,28820.0,844.92,357.0,750
68.0,29320.0,865.21,357.5,750
69.0,29820.0,880.34,358.0,750
70.0,30320.0,896.24,358.5,750
71.0,30820.0,909.95,359.0,750
72.0,31320.0,924.5,359.5,750
73.0,31820.0,938.31,360.0,750
74.0,32320.0,967.61,360.5,750
75.0,-32716.0,982.0,361.0,750
76.0,-32216.0,1001.76,361.5,750
