Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm)
2.0,-16504.0,-4.84,901.5,840
3.0,-16004.0,-4.71,902.0,840
4.0,-15504.0,-4.56,902.5,840
5.0,-15004.0,-4.65,903.0,840
6.0,-14504.0,-1.62,903.5,840
7.0,-14004.0,-3.07,904.0,840
8.0,-13504.0,2.22,904.5,840
9.0,-13004.0,9.53,905.0,840
10.0,-12504.0,6.58,905.5,840
11.0,-12004.0,8.6,906.0,840
12.0,-11504.0,10.26,906.5,840
13.0,-11004.0,5.97,907.0,840
14.0,-10504.0,12.9,907.5,840
15.0,-10004.0,15.91,908.0,840
16.0,-9504.0,22.78,908.5,840
17.0,-9004.0,18.07,909.0,840
18.0,-8504.0,22.1,909.5,840
19.0,-8004.0,32.53,910.0,840
20.0,-7504.0,38.56,910.5,840
21.0,-7004.0,37.06,911.0,840
22.0,-6504.0,42.78,911.5,840
23.0,-6004.0,42.64,912.0,840
24.0,-5504.0,37.2,912.5,840
25.0,-5004.0,42.52,913.0,840
26.0,-4504.0,47.25,913.5,840
27.0,-4004.0,50.83,914.0,840
28.0,-3504.0,56.65,914.5,840
29.0,-3004.0,59.92,915.0,840
30.0,-2504.0,55.5,915.5,840
31.0,-2004.0,58.64,916.0,840
32.0,-1504.0,63.87,916.5,840
33.0,-1004.0,49.21,917.0,840
34.0,-504.0,62.75,917.5,840
35.0,-4.0,70.17,918.0,840
36.0,496.0,66.91,918.5,840
37.0,996.0,65.48,919.0,840
38.0,1496.0,80.55,919.5,840
39.0,1996.0,88.82,920.0,840
40.0,2496.0,89.18,920.5,840
41.0,2996.0,96.85,921.0,840
42.0,3496.0,101.77,921.5,840
43.0,3996.0,111.59,922.0,840
44.0,4496.0,117.54,922.5,840
45.0,4996.0,122.36,923.0,840
46.0,5496.0,128.56,923.5,840
47.0,5996.0,132.89,924.0,840
48.0,6496.0,139.14,924.5,840
49.0,6996.0,140.21,925.0,840
50.0,7496.0,147.53,925.5,840
51.0,7996.0,152.26,926.0,840
52.0,8496.0,157.86,926.5,840
53.0,8996.0,161.39,927.0,840
54.0,9496.0,159.72,927.5,840
55.0,9996.0,160.7,928.0,840
56.0,10496.0,160.93,928.5,840
57.0,10996.0,159.07,929.0,840
58.0,11496.0,159.0,929.5,840
59.0,11996.0,177.62,930.0,840
60.0,12496.0,198.65,930.5,840
61.0,12996.0,203.92,931.0,840
62.0,13496.0,203.28,931.5,840
63.0,13996.0,206.16,932.0,840
64.0,14496.0,205.63,932.5,840
65.0,14996.0,206.85,933.0,840
66.0,15496.0,217.53,933.5,840
67.0,15996.0,223.99,934.0,840
68.0,16496.0,218.15,934.5,840
69.0,16996.0,218.9,935.0,840
70.0,17496.0,236.43,935.5,840
71.0,17996.0,237.88,936.0,840
72.0,18496.0,246.85,936.5,840
73.0,18996.0,255.3,937.0,840
74.0,19496.0,258.12,937.5,840
75.0,19996.0,265.52,938.0,840
76.0,20496.0,267.88,938.5,840
77.0,20996.0,270.27,939.0,840
78.0,21496.0,258.45,939.5,840
79.0,21996.0,274.84,940.0,840
80.0,22496.0,292.61,940.5,840
81.0,22996.0,295.7,941.0,840
82.0,23496.0,300.08,941.5,840
83.0,23996.0,300.83,942.0,840
84.0,24496.0,305.83,942.5,840
85.0,24996.0,312.51,943.0,840
86.0,25496.0,316.67,943.5,840
87.0,25996.0,322.92,944.0,840
88.0,26496.0,323.84,944.5,840
89.0,26996.0,328.73,945.0,840
