Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm)
2.0,6748.0,-29.21,466.0,835
3.0,7248.0,-30.59,466.5,835
4.0,7748.0,-30.19,467.0,835
5.0,8248.0,-28.83,467.5,835
6.0,8748.0,-29.52,468.0,835
7.0,9248.0,-21.6,468.5,835
8.0,9748.0,-10.06,469.0,835
9.0,10248.0,2.89,469.5,835
10.0,10748.0,16.49,470.0,835
11.0,11248.0,29.89,470.5,835
12.0,11748.0,42.08,471.0,835
13.0,12248.0,40.77,471.5,835
14.0,12748.0,54.88,472.0,835
15.0,13248.0,68.48,472.5,835
16.0,13748.0,77.35,473.0,835
17.0,14248.0,87.62,473.5,835
18.0,14748.0,95.58,474.0,835
19.0,15248.0,104.89,474.5,835
20.0,15748.0,114.8,475.0,835
21.0,16248.0,120.99,475.5,835
22.0,16748.0,123.52,476.0,835
23.0,17248.0,125.48,476.5,835
24.0,17748.0,127.74,477.0,835
25.0,18248.0,131.01,477.5,835
26.0,18748.0,134.65,478.0,835
27.0,19248.0,135.45,478.5,835
28.0,19748.0,137.14,479.0,835
29.0,20248.0,139.94,479.5,835
30.0,20748.0,142.75,480.0,835
31.0,21248.0,144.57,480.5,835
32.0,21748.0,145.93,481.0,835
33.0,22248.0,150.06,481.5,835
34.0,22748.0,154.37,482.0,835
35.0,23248.0,158.19,482.5,835
36.0,23748.0,161.31,483.0,835
37.0,24248.0,165.9,483.5,835
38.0,24748.0,169.92,484.0,835
39.0,25248.0,175.12,484.5,835
40.0,25748.0,178.14,485.0,835
41.0,26248.0,179.25,485.5,835
42.0,26748.0,184.43,486.0,835
43.0,27248.0,188.14,486.5,835
44.0,27748.0,192.83,487.0,835
45.0,28248.0,199.0,487.5,835
46.0,28748.0,203.32,488.0,835
47.0,29248.0,171.17,488.5,835
48.0,29748.0,172.15,489.0,835
49.0,30248.0,176.33,489.5,835
50.0,30748.0,175.9,490.0,835
51.0,31248.0,178.77,490.5,835
52.0,31748.0,181.34,491.0,835
53.0,32248.0,186.51,491.5,835
54.0,32748.0,188.06,492.0,835
55.0,-32288.0,189.3,492.5,835
56.0,-31788.0,193.44,493.0,835
57.0,-31288.0,194.46,493.5,835
58.0,-30788.0,196.4,494.0,835
59.0,-30288.0,201.69,494.5,835
60.0,-29788.0,203.38,495.0,835
61.0,-29288.0,204.42,495.5,835
62.0,-28788.0,205.45,496.0,835
63.0,-28288.0,206.87,496.5,835
64.0,-27788.0,209.43,497.0,835
65.0,-27288.0,210.57,497.5,835
66.0,-26788.0,213.38,498.0,835
67.0,-26288.0,215.15,498.5,835
68.0,-25788.0,217.91,499.0,835
69.0,-25288.0,220.09,499.5,835
70.0,-24788.0,222.95,500.0,835
71.0,-24288.0,226.42,500.5,835
72.0,-23788.0,228.91,501.0,835
73.0,-23288.0,230.84,501.5,835
74.0,-22788.0,233.32,502.0,835
75.0,-22288.0,235.56,502.5,835
76.0,-21788.0,240.25,503.0,835
77.0,-21288.0,246.37,503.5,835
78.0,-20788.0,249.1,504.0,835
79.0,-20288.0,255.54,504.5,835
80.0,-19788.0,254.56,505.0,835
81.0,-19288.0,255.37,505.5,835
82.0,-18788.0,257.21,506.0,835
83.0,-18288.0,257.79,506.5,835
84.0,-17788.0,262.36,507.0,835
85.0,-17288.0,263.01,507.5,835
86.0,-16788.0,268.32,508.0,835
87.0,-16288.0,272.08,508.5,835
88.0,-15788.0,284.8,509.0,835
89.0,-15288.0,292.62,509.5,835
