Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm)
3.0,7892.0,-109.88,205.0,795
4.0,8392.0,-111.45,205.5,795
5.0,8892.0,-110.1,206.0,795
6.0,9392.0,-110.85,206.5,795
7.0,9892.0,-110.03,207.0,795
8.0,10392.0,-110.0,207.5,795
9.0,10892.0,-109.93,208.0,795
10.0,11392.0,-97.54,208.5,795
11.0,11892.0,-88.31,209.0,795
12.0,12392.0,-78.43,209.5,795
13.0,12892.0,-71.2,210.0,795
14.0,13392.0,-63.23,210.5,795
15.0,13892.0,-51.93,211.0,795
16.0,14392.0,-41.77,211.5,795
17.0,14892.0,-31.48,212.0,795
18.0,15392.0,-23.0,212.5,795
19.0,15892.0,-12.09,213.0,795
20.0,16392.0,-1.06,213.5,795
21.0,16892.0,9.41,214.0,795
22.0,17392.0,20.42,214.5,795
23.0,17892.0,30.21,215.0,795
24.0,18392.0,41.71,215.5,795
25.0,18892.0,51.55,216.0,795
26.0,19392.0,61.33,216.5,795
27.0,19892.0,71.02,217.0,795
28.0,20392.0,83.36,217.5,795
29.0,20892.0,95.12,218.0,795
30.0,21392.0,106.6,218.5,795
31.0,21892.0,118.11,219.0,795
32.0,22392.0,131.4,219.5,795
33.0,22892.0,144.01,220.0,795
34.0,23392.0,157.03,220.5,795
35.0,23892.0,165.54,221.0,795
36.0,24392.0,176.21,221.5,795
37.0,24892.0,181.38,222.0,795
38.0,25392.0,189.89,222.5,795
39.0,25892.0,199.76,223.0,795
40.0,26392.0,207.27,223.5,795
41.0,26892.0,217.85,224.0,795
42.0,27392.0,226.79,224.5,795
43.0,27892.0,237.5,225.0,795
44.0,28392.0,247.98,225.5,795
45.0,28892.0,256.12,226.0,795
46.0,29392.0,267.53,226.5,795
47.0,29892.0,279.31,227.0,795
48.0,30392.0,288.32,227.5,795
49.0,30892.0,298.59,228.0,795
50.0,31392.0,310.35,228.5,795
51.0,31892.0,320.79,229.0,795
52.0,32392.0,328.04,229.5,795
53.0,-32644.0,337.76,230.0,795
54.0,-32144.0,349.33,230.5,795
55.0,-31644.0,358.3,231.0,795
56.0,-31144.0,369.71,231.5,795
57.0,-30644.0,377.76,232.0,795
58.0,-30144.0,389.67,232.5,795
59.0,-29644.0,401.36,233.0,795
60.0,-29144.0,412.2,233.5,795
61.0,-28644.0,422.24,234.0,795
62.0,-28144.0,430.4,234.5,795
63.0,-27644.0,441.84,235.0,795
64.0,-27144.0,445.27,235.5,795
65.0,-26644.0,457.18,236.0,795
66.0,-26144.0,468.36,236.5,795
67.0,-25644.0,478.48,237.0,795
68.0,-25144.0,489.61,237.5,795
69.0,-24644.0,500.35,238.0,795
70.0,-24144.0,510.52,238.5,795
71.0,-23644.0,516.33,239.0,795
72.0,-23144.0,528.47,239.5,795
73.0,-22644.0,538.79,240.0,795
74.0,-22144.0,549.0,240.5,795
75.0,-21644.0,560.56,241.0,795
76.0,-21144.0,570.7,241.5,795
77.0,-20644.0,583.9,242.0,795
78.0,-20144.0,594.79,242.5,795
79.0,-19644.0,602.76,243.0,795
80.0,-19144.0,615.8,243.5,795
81.0,-18644.0,627.83,244.0,795
82.0,-18144.0,639.15,244.5,795
83.0,-17644.0,650.87,245.0,795
84.0,-17144.0,662.01,245.5,795
85.0,-16644.0,674.67,246.0,795
86.0,-16144.0,685.84,246.5,795
87.0,-15644.0,696.48,247.0,795
88.0,-15144.0,709.15,247.5,795
89.0,-14644.0,722.36,248.0,795
