Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm)
2.0,-32504.0,73.98,885.5,650
3.0,-32004.0,156.69,886.0,650
4.0,-31504.0,219.22,886.5,650
5.0,-31004.0,276.09,887.0,650
6.0,-30504.0,317.16,887.5,650
7.0,-30004.0,378.14,888.0,650
8.0,-29504.0,426.96,888.5,650
9.0,-29004.0,474.96,889.0,650
10.0,-28504.0,525.19,889.5,650
11.0,-28004.0,575.35,890.0,650
12.0,-27504.0,625.26,890.5,650
13.0,-27004.0,689.05,891.0,650
14.0,-26504.0,728.45,891.5,650
15.0,-26004.0,771.84,892.0,650
16.0,-25504.0,818.51,892.5,650
17.0,-25004.0,864.8,893.0,650
18.0,-24504.0,913.46,893.5,650
19.0,-24004.0,955.06,894.0,650
20.0,-23504.0,991.36,894.5,650
21.0,-23004.0,1048.21,895.0,650
