Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm)
2.0,-20536.0,-62.64,45.5,660
3.0,-20036.0,-55.97,46.0,660
4.0,-19536.0,-51.15,46.5,660
5.0,-19036.0,-43.91,47.0,660
6.0,-18536.0,-37.68,47.5,660
7.0,-18036.0,-28.48,48.0,660
8.0,-17536.0,-21.36,48.5,660
9.0,-17036.0,-16.78,49.0,660
10.0,-16536.0,-9.23,49.5,660
11.0,-16036.0,-1.55,50.0,660
12.0,-15536.0,6.24,50.5,660
13.0,-15036.0,21.29,51.0,660
14.0,-14536.0,25.9,51.5,660
15.0,-14036.0,38.46,52.0,660
16.0,-13536.0,47.76,52.5,660
17.0,-13036.0,60.01,53.0,660
18.0,-12536.0,61.56,53.5,660
19.0,-12036.0,74.56,54.0,660
20.0,-11536.0,85.8,54.5,660
21.0,-11036.0,92.43,55.0,660
22.0,-10536.0,109.25,55.5,660
23.0,-10036.0,121.07,56.0,660
24.0,-9536.0,138.18,56.5,660
25.0,-9036.0,153.03,57.0,660
26.0,-8536.0,166.21,57.5,660
27.0,-8036.0,181.93,58.0,660
28.0,-7536.0,180.36,58.5,660
29.0,-7036.0,196.76,59.0,660
30.0,-6536.0,210.21,59.5,660
31.0,-6036.0,223.64,60.0,660
32.0,-5536.0,240.73,60.5,660
33.0,-5036.0,250.15,61.0,660
34.0,-4536.0,254.46,61.5,660
35.0,-4036.0,273.57,62.0,660
36.0,-3536.0,289.95,62.5,660
37.0,-3036.0,212.36,63.0,660
38.0,-2536.0,204.49,63.5,660
39.0,-2036.0,224.47,64.0,660
40.0,-1536.0,246.45,64.5,660
41.0,-1036.0,267.51,65.0,660
42.0,-536.0,280.71,65.5,660
43.0,-36.0,291.19,66.0,660
44.0,464.0,313.25,66.5,660
45.0,964.0,331.52,67.0,660
46.0,1464.0,339.51,67.5,660
47.0,1964.0,344.3,68.0,660
48.0,2464.0,353.1,68.5,660
49.0,2964.0,357.63,69.0,660
50.0,3464.0,355.58,69.5,660
51.0,3964.0,368.4,70.0,660
52.0,4464.0,381.91,70.5,660
53.0,4964.0,384.33,71.0,660
54.0,5464.0,403.72,71.5,660
55.0,5964.0,438.34,72.0,660
56.0,6464.0,445.89,72.5,660
57.0,6964.0,467.95,73.0,660
58.0,7464.0,470.67,73.5,660
59.0,7964.0,484.83,74.0,660
60.0,8464.0,493.89,74.5,660
61.0,8964.0,518.48,75.0,660
62.0,9464.0,539.24,75.5,660
63.0,9964.0,561.87,76.0,660
64.0,10464.0,578.76,76.5,660
65.0,10964.0,592.95,77.0,660
66.0,11464.0,526.93,77.5,660
67.0,11964.0,547.99,78.0,660
68.0,12464.0,574.37,78.5,660
69.0,12964.0,602.74,79.0,660
70.0,13464.0,627.99,79.5,660
71.0,13964.0,657.88,80.0,660
72.0,14464.0,687.07,80.5,660
73.0,14964.0,700.85,81.0,660
74.0,15464.0,727.43,81.5,660
75.0,15964.0,754.13,82.0,660
76.0,16464.0,779.02,82.5,660
77.0,16964.0,790.04,83.0,660
78.0,17464.0,804.34,83.5,660
79.0,17964.0,828.08,84.0,660
80.0,18464.0,852.38,84.5,660
81.0,18964.0,880.91,85.0,660
82.0,19464.0,910.46,85.5,660
83.0,19964.0,940.43,86.0,660
84.0,20464.0,970.1,86.5,660
85.0,20964.0,999.25,87.0,660
86.0,21464.0,1024.04,87.5,660
