Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm)
2.0,-20824.0,-67.33,569.5,715
3.0,-20324.0,-67.39,570.0,715
4.0,-19824.0,-62.82,570.5,715
5.0,-19324.0,-62.2,571.0,715
6.0,-18824.0,-62.81,571.5,715
7.0,-18324.0,-34.55,572.0,715
8.0,-17824.0,-8.64,572.5,715
9.0,-17324.0,13.12,573.0,715
10.0,-16824.0,34.46,573.5,715
11.0,-16324.0,61.18,574.0,715
12.0,-15824.0,80.57,574.5,715
13.0,-15324.0,107.23,575.0,715
14.0,-14824.0,131.24,575.5,715
15.0,-14324.0,150.73,576.0,715
16.0,-13824.0,175.9,576.5,715
17.0,-13324.0,194.78,577.0,715
18.0,-12824.0,219.12,577.5,715
19.0,-12324.0,241.84,578.0,715
20.0,-11824.0,266.58,578.5,715
21.0,-11324.0,292.77,579.0,715
22.0,-10824.0,316.33,579.5,715
23.0,-10324.0,343.02,580.0,715
24.0,-9824.0,368.34,580.5,715
25.0,-9324.0,392.03,581.0,715
26.0,-8824.0,414.06,581.5,715
27.0,-8324.0,432.15,582.0,715
28.0,-7824.0,450.33,582.5,715
29.0,-7324.0,475.41,583.0,715
30.0,-6824.0,497.79,583.5,715
31.0,-6324.0,525.21,584.0,715
32.0,-5824.0,543.07,584.5,715
33.0,-5324.0,558.79,585.0,715
34.0,-4824.0,584.69,585.5,715
35.0,-4324.0,602.91,586.0,715
36.0,-3824.0,624.16,586.5,715
37.0,-3324.0,647.97,587.0,715
38.0,-2824.0,654.64,587.5,715
39.0,-2324.0,667.1,588.0,715
40.0,-1824.0,700.07,588.5,715
41.0,-1324.0,736.75,589.0,715
42.0,-824.0,766.24,589.5,715
43.0,-324.0,801.3,590.0,715
44.0,176.0,815.27,590.5,715
45.0,676.0,846.79,591.0,715
46.0,1176.0,884.82,591.5,715
47.0,1676.0,920.46,592.0,715
48.0,2176.0,944.8,592.5,715
49.0,2676.0,974.09,593.0,715
50.0,3176.0,995.73,593.5,715
51.0,3676.0,1018.73,594.0,715
