Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm)
2.0,14928.0,-39.55,146.5,625
3.0,15428.0,-34.61,147.0,625
4.0,15928.0,-32.68,147.5,625
5.0,16428.0,-30.81,148.0,625
6.0,16928.0,-28.65,148.5,625
7.0,17428.0,-26.56,149.0,625
8.0,17928.0,-25.38,149.5,625
9.0,18428.0,-23.58,150.0,625
10.0,18928.0,-20.45,150.5,625
11.0,19428.0,-17.42,151.0,625
12.0,19928.0,-17.09,151.5,625
13.0,20428.0,-14.62,152.0,625
14.0,20928.0,-14.05,152.5,625
15.0,21428.0,-11.66,153.0,625
16.0,21928.0,-12.45,153.5,625
17.0,22428.0,-12.01,154.0,625
18.0,22928.0,-11.34,154.5,625
19.0,23428.0,-8.85,155.0,625
20.0,23928.0,-3.49,155.5,625
21.0,24428.0,-1.88,156.0,625
22.0,24928.0,-1.84,156.5,625
23.0,25428.0,1.23,157.0,625
24.0,25928.0,3.0,157.5,625
25.0,26428.0,4.46,158.0,625
26.0,26928.0,5.6,158.5,625
27.0,27428.0,6.83,159.0,625
28.0,27928.0,8.58,159.5,625
29.0,28428.0,10.02,160.0,625
30.0,28928.0,11.23,160.5,625
31.0,29428.0,12.23,161.0,625
32.0,29928.0,14.18,161.5,625
33.0,30428.0,16.88,162.0,625
34.0,30928.0,17.29,162.5,625
35.0,31428.0,19.8,163.0,625
36.0,31928.0,23.33,163.5,625
37.0,32428.0,21.35,164.0,625
38.0,-32608.0,23.24,164.5,625
39.0,-32108.0,22.32,165.0,625
40.0,-31608.0,23.54,165.5,625
41.0,-31108.0,26.36,166.0,625
42.0,-30608.0,26.16,166.5,625
43.0,-30108.0,28.47,167.0,625
44.0,-29608.0,29.0,167.5,625
45.0,-29108.0,30.59,168.0,625
46.0,-28608.0,30.36,168.5,625
47.0,-28108.0,33.8,169.0,625
48.0,-27608.0,35.62,169.5,625
49.0,-27108.0,37.0,170.0,625
50.0,-26608.0,38.63,170.5,625
51.0,-26108.0,40.28,171.0,625
52.0,-25608.0,43.53,171.5,625
53.0,-25108.0,45.53,172.0,625
54.0,-24608.0,46.94,172.5,625
55.0,-24108.0,49.46,173.0,625
56.0,-23608.0,49.99,173.5,625
57.0,-23108.0,50.7,174.0,625
58.0,-22608.0,51.31,174.5,625
59.0,-22108.0,52.69,175.0,625
60.0,-21608.0,55.86,175.5,625
61.0,-21108.0,57.88,176.0,625
62.0,-20608.0,58.99,176.5,625
63.0,-20108.0,60.37,177.0,625
64.0,-19608.0,61.79,177.5,625
65.0,-19108.0,62.84,178.0,625
66.0,-18608.0,63.85,178.5,625
67.0,-18108.0,66.45,179.0,625
68.0,-17608.0,69.58,179.5,625
69.0,-17108.0,70.07,180.0,625
70.0,-16608.0,70.97,180.5,625
71.0,-16108.0,71.24,181.0,625
72.0,-15608.0,72.54,181.5,625
73.0,-15108.0,56.94,182.0,625
74.0,-14608.0,60.04,182.5,625
75.0,-14108.0,62.97,183.0,625
76.0,-13608.0,66.63,183.5,625
77.0,-13108.0,68.34,184.0,625
78.0,-12608.0,69.53,184.5,625
79.0,-12108.0,70.23,185.0,625
80.0,-11608.0,72.94,185.5,625
81.0,-11108.0,76.81,186.0,625
82.0,-10608.0,78.16,186.5,625
83.0,-10108.0,80.18,187.0,625
84.0,-9608.0,83.16,187.5,625
85.0,-9108.0,85.61,188.0,625
86.0,-8608.0,87.34,188.5,625
87.0,-8108.0,89.88,189.0,625
88.0,-7608.0,92.2,189.5,625
89.0,-7108.0,90.85,190.0,625
