Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm)
2.0,19676.0,-70.04,610.0,820
3.0,20176.0,-63.45,610.5,820
4.0,20676.0,-60.53,611.0,820
5.0,21176.0,-46.7,611.5,820
6.0,21676.0,-28.44,612.0,820
7.0,22176.0,-17.67,612.5,820
8.0,22676.0,-12.47,613.0,820
9.0,23176.0,-4.5,613.5,820
10.0,23676.0,19.95,614.0,820
11.0,24176.0,29.1,614.5,820
12.0,24676.0,48.87,615.0,820
13.0,25176.0,66.29,615.5,820
14.0,25676.0,79.75,616.0,820
15.0,26176.0,121.55,616.5,820
16.0,26676.0,138.03,617.0,820
17.0,27176.0,156.54,617.5,820
18.0,27676.0,182.97,618.0,820
19.0,28176.0,215.11,618.5,820
20.0,28676.0,241.92,619.0,820
21.0,29176.0,261.1,619.5,820
22.0,29676.0,272.1,620.0,820
23.0,30176.0,301.41,620.5,820
24.0,30676.0,317.2,621.0,820
25.0,31176.0,325.64,621.5,820
26.0,31676.0,333.0,622.0,820
27.0,32176.0,343.85,622.5,820
28.0,32676.0,367.97,623.0,820
29.0,-32360.0,383.87,623.5,820
30.0,-31860.0,397.59,624.0,820
31.0,-31360.0,410.82,624.5,820
32.0,-30860.0,432.87,625.0,820
33.0,-30360.0,446.9,625.5,820
34.0,-29860.0,459.71,626.0,820
35.0,-29360.0,473.52,626.5,820
36.0,-28860.0,497.68,627.0,820
37.0,-28360.0,521.71,627.5,820
38.0,-27860.0,544.87,628.0,820
39.0,-27360.0,562.5,628.5,820
40.0,-26860.0,580.33,629.0,820
41.0,-26360.0,600.17,629.5,820
42.0,-25860.0,617.37,630.0,820
43.0,-25360.0,633.72,630.5,820
44.0,-24860.0,653.03,631.0,820
45.0,-24360.0,671.28,631.5,820
46.0,-23860.0,696.64,632.0,820
47.0,-23360.0,715.09,632.5,820
48.0,-22860.0,730.72,633.0,820
49.0,-22360.0,751.55,633.5,820
50.0,-21860.0,769.52,634.0,820
51.0,-21360.0,790.0,634.5,820
52.0,-20860.0,808.85,635.0,820
53.0,-20360.0,827.03,635.5,820
54.0,-19860.0,843.95,636.0,820
55.0,-19360.0,860.03,636.5,820
56.0,-18860.0,877.09,637.0,820
57.0,-18360.0,893.3,637.5,820
58.0,-17860.0,908.27,638.0,820
59.0,-17360.0,925.1,638.5,820
60.0,-16860.0,942.7,639.0,820
61.0,-16360.0,958.62,639.5,820
62.0,-15860.0,973.39,640.0,820
63.0,-15360.0,990.3,640.5,820
64.0,-14860.0,1005.96,641.0,820
