Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm)
2.0,23248.0,-4.45,482.5,890
3.0,23748.0,-1.74,483.0,890
4.0,24248.0,0.03,483.5,890
5.0,24748.0,2.6,484.0,890
6.0,25248.0,3.64,484.5,890
7.0,25748.0,5.42,485.0,890
8.0,26248.0,9.24,485.5,890
9.0,26748.0,12.29,486.0,890
10.0,27248.0,15.68,486.5,890
11.0,27748.0,19.46,487.0,890
12.0,28248.0,31.21,487.5,890
13.0,28748.0,33.92,488.0,890
14.0,29248.0,52.15,488.5,890
15.0,29748.0,68.23,489.0,890
16.0,30248.0,74.01,489.5,890
17.0,30748.0,83.46,490.0,890
18.0,31248.0,97.25,490.5,890
19.0,31748.0,102.28,491.0,890
20.0,32248.0,110.71,491.5,890
21.0,32748.0,121.11,492.0,890
22.0,-32288.0,130.05,492.5,890
23.0,-31788.0,139.25,493.0,890
24.0,-31288.0,147.58,493.5,890
25.0,-30788.0,157.47,494.0,890
26.0,-30288.0,170.9,494.5,890
27.0,-29788.0,177.17,495.0,890
28.0,-29288.0,177.85,495.5,890
29.0,-28788.0,185.78,496.0,890
30.0,-28288.0,197.97,496.5,890
31.0,-27788.0,206.83,497.0,890
32.0,-27288.0,218.08,497.5,890
33.0,-26788.0,227.2,498.0,890
34.0,-26288.0,237.68,498.5,890
35.0,-25788.0,228.81,499.0,890
36.0,-25288.0,238.0,499.5,890
37.0,-24788.0,241.16,500.0,890
38.0,-24288.0,252.7,500.5,890
39.0,-23788.0,262.16,501.0,890
40.0,-23288.0,270.41,501.5,890
41.0,-22788.0,277.77,502.0,890
42.0,-22288.0,282.67,502.5,890
43.0,-21788.0,291.94,503.0,890
44.0,-21288.0,301.13,503.5,890
45.0,-20788.0,309.56,504.0,890
46.0,-20288.0,314.47,504.5,890
47.0,-19788.0,325.23,505.0,890
48.0,-19288.0,334.45,505.5,890
49.0,-18788.0,341.66,506.0,890
50.0,-18288.0,350.15,506.5,890
51.0,-17788.0,362.91,507.0,890
52.0,-17288.0,369.14,507.5,890
53.0,-16788.0,378.89,508.0,890
54.0,-16288.0,387.29,508.5,890
55.0,-15788.0,399.48,509.0,890
56.0,-15288.0,407.31,509.5,890
57.0,-14788.0,412.94,510.0,890
58.0,-14288.0,420.99,510.5,890
59.0,-13788.0,434.87,511.0,890
60.0,-13288.0,441.74,511.5,890
61.0,-12788.0,449.51,512.0,890
62.0,-12288.0,459.54,512.5,890
63.0,-11788.0,471.46,513.0,890
64.0,-11288.0,479.42,513.5,890
65.0,-10788.0,487.83,514.0,890
66.0,-10288.0,495.02,514.5,890
67.0,-9788.0,506.32,515.0,890
68.0,-9288.0,516.67,515.5,890
69.0,-8788.0,523.56,516.0,890
70.0,-8288.0,529.22,516.5,890
71.0,-7788.0,542.22,517.0,890
72.0,-7288.0,548.43,517.5,890
73.0,-6788.0,554.65,518.0,890
74.0,-6288.0,564.65,518.5,890
75.0,-5788.0,576.18,519.0,890
76.0,-5288.0,586.91,519.5,890
77.0,-4788.0,593.48,520.0,890
78.0,-4288.0,600.32,520.5,890
79.0,-3788.0,604.59,521.0,890
80.0,-3288.0,617.22,521.5,890
81.0,-2788.0,627.0,522.0,890
82.0,-2288.0,635.4,522.5,890
83.0,-1788.0,646.54,523.0,890
84.0,-1288.0,654.79,523.5,890
85.0,-788.0,662.53,524.0,890
86.0,-288.0,673.17,524.5,890
87.0,212.0,685.17,525.0,890
88.0,712.0,696.03,525.5,890
89.0,1212.0,705.35,526.0,890
