Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm)
3.0,-9324.0,-40.59,581.0,690
4.0,-8824.0,-41.46,581.5,690
5.0,-8324.0,-12.04,582.0,690
6.0,-7824.0,21.11,582.5,690
7.0,-7324.0,55.28,583.0,690
8.0,-6824.0,128.18,583.5,690
9.0,-6324.0,194.52,584.0,690
10.0,-5824.0,211.06,584.5,690
11.0,-5324.0,257.7,585.0,690
12.0,-4824.0,325.12,585.5,690
13.0,-4324.0,395.1,586.0,690
14.0,-3824.0,462.71,586.5,690
15.0,-3324.0,523.0,587.0,690
16.0,-2824.0,615.33,587.5,690
17.0,-2324.0,682.41,588.0,690
18.0,-1824.0,773.26,588.5,690
19.0,-1324.0,827.37,589.0,690
20.0,-824.0,893.35,589.5,690
21.0,-324.0,955.75,590.0,690
22.0,176.0,1029.32,590.5,690
