Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm)
2.0,-14040.0,27.22,969.5,895
3.0,-13540.0,37.65,970.0,895
4.0,-13040.0,47.5,970.5,895
5.0,-12540.0,54.02,971.0,895
6.0,-12040.0,58.83,971.5,895
7.0,-11540.0,65.41,972.0,895
8.0,-11040.0,70.79,972.5,895
9.0,-10540.0,74.04,973.0,895
10.0,-10040.0,76.53,973.5,895
11.0,-9540.0,80.48,974.0,895
12.0,-9040.0,82.24,974.5,895
13.0,-8540.0,87.78,975.0,895
14.0,-8040.0,91.66,975.5,895
15.0,-7540.0,97.36,976.0,895
16.0,-7040.0,103.93,976.5,895
17.0,-6540.0,104.99,977.0,895
18.0,-6040.0,112.49,977.5,895
19.0,-5540.0,117.35,978.0,895
20.0,-5040.0,121.84,978.5,895
21.0,-4540.0,126.85,979.0,895
22.0,-4040.0,131.6,979.5,895
23.0,-3540.0,136.6,980.0,895
24.0,-3040.0,140.55,980.5,895
25.0,-2540.0,143.73,981.0,895
26.0,-2040.0,149.86,981.5,895
27.0,-1540.0,155.52,982.0,895
28.0,-1040.0,159.63,982.5,895
29.0,-540.0,165.43,983.0,895
30.0,-40.0,171.65,983.5,895
31.0,460.0,175.8,984.0,895
32.0,960.0,162.34,984.5,895
33.0,1460.0,168.87,985.0,895
34.0,1960.0,175.49,985.5,895
35.0,2460.0,180.31,986.0,895
36.0,2960.0,187.19,986.5,895
37.0,3460.0,191.58,987.0,895
38.0,3960.0,200.54,987.5,895
39.0,4460.0,208.73,988.0,895
40.0,4960.0,217.04,988.5,895
41.0,5460.0,223.75,989.0,895
42.0,5960.0,230.97,989.5,895
43.0,6460.0,237.48,990.0,895
44.0,6960.0,241.61,990.5,895
45.0,7460.0,251.76,991.0,895
46.0,7960.0,259.98,991.5,895
47.0,8460.0,270.68,992.0,895
48.0,8960.0,279.77,992.5,895
49.0,9460.0,289.98,993.0,895
50.0,9960.0,299.41,993.5,895
51.0,10460.0,308.93,994.0,895
52.0,10960.0,318.43,994.5,895
53.0,11460.0,328.13,995.0,895
54.0,11960.0,336.66,995.5,895
55.0,12460.0,345.2,996.0,895
56.0,12960.0,352.93,996.5,895
57.0,13460.0,361.36,997.0,895
58.0,13960.0,373.5,997.5,895
59.0,14460.0,384.63,998.0,895
60.0,14960.0,390.75,998.5,895
61.0,15460.0,400.56,999.0,895
62.0,15960.0,410.24,999.5,895
63.0,16460.0,418.21,1000.0,895
64.0,16960.0,428.4,1000.5,895
65.0,17460.0,439.06,1001.0,895
66.0,17960.0,449.97,1001.5,895
67.0,18460.0,461.59,1002.0,895
68.0,18960.0,473.12,1002.5,895
69.0,19460.0,481.81,1003.0,895
70.0,19960.0,490.84,1003.5,895
71.0,20460.0,495.14,1004.0,895
72.0,20960.0,501.27,1004.5,895
73.0,21460.0,508.06,1005.0,895
74.0,21960.0,515.14,1005.5,895
75.0,22460.0,522.48,1006.0,895
76.0,22960.0,531.4,1006.5,895
77.0,23460.0,539.96,1007.0,895
78.0,23960.0,546.59,1007.5,895
79.0,24460.0,551.15,1008.0,895
80.0,24960.0,560.65,1008.5,895
81.0,25460.0,568.76,1009.0,895
82.0,25960.0,578.67,1009.5,895
83.0,26460.0,587.3,1010.0,895
84.0,26960.0,593.91,1010.5,895
85.0,27460.0,602.81,1011.0,895
86.0,27960.0,607.42,1011.5,895
87.0,28460.0,615.61,1012.0,895
88.0,28960.0,603.96,1012.5,895
89.0,29460.0,612.93,1013.0,895
