Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm)
2.0,3604.0,-17.27,725.0,905
3.0,4104.0,-13.84,725.5,905
4.0,4604.0,-13.73,726.0,905
5.0,5104.0,-12.53,726.5,905
6.0,5604.0,-9.15,727.0,905
7.0,6104.0,-10.5,727.5,905
8.0,6604.0,-7.97,728.0,905
9.0,7104.0,-6.33,728.5,905
10.0,7604.0,-7.48,729.0,905
11.0,8104.0,-4.45,729.5,905
12.0,8604.0,-0.12,730.0,905
13.0,9104.0,-1.75,730.5,905
14.0,9604.0,-0.9,731.0,905
15.0,10104.0,-0.42,731.5,905
16.0,10604.0,-6.44,732.0,905
17.0,11104.0,-1.7,732.5,905
18.0,11604.0,-0.57,733.0,905
19.0,12104.0,1.02,733.5,905
20.0,12604.0,5.67,734.0,905
21.0,13104.0,1.29,734.5,905
22.0,13604.0,5.13,735.0,905
23.0,14104.0,6.33,735.5,905
24.0,14604.0,6.0,736.0,905
25.0,15104.0,7.88,736.5,905
26.0,15604.0,9.43,737.0,905
27.0,16104.0,9.18,737.5,905
28.0,16604.0,10.29,738.0,905
29.0,17104.0,13.88,738.5,905
30.0,17604.0,14.21,739.0,905
31.0,18104.0,13.95,739.5,905
32.0,18604.0,15.39,740.0,905
33.0,19104.0,18.52,740.5,905
34.0,19604.0,20.85,741.0,905
35.0,20104.0,20.63,741.5,905
36.0,20604.0,20.55,742.0,905
37.0,21104.0,21.99,742.5,905
38.0,21604.0,28.63,743.0,905
39.0,22104.0,26.56,743.5,905
40.0,22604.0,26.99,744.0,905
41.0,23104.0,27.56,744.5,905
42.0,23604.0,27.09,745.0,905
43.0,24104.0,28.93,745.5,905
44.0,24604.0,32.05,746.0,905
45.0,25104.0,29.94,746.5,905
46.0,25604.0,34.49,747.0,905
47.0,26104.0,29.47,747.5,905
48.0,26604.0,30.85,748.0,905
49.0,27104.0,31.16,748.5,905
50.0,27604.0,35.6,749.0,905
51.0,28104.0,38.68,749.5,905
52.0,28604.0,39.55,750.0,905
53.0,29104.0,41.6,750.5,905
54.0,29604.0,43.27,751.0,905
55.0,30104.0,45.58,751.5,905
56.0,30604.0,45.59,752.0,905
57.0,31104.0,46.35,752.5,905
58.0,31604.0,43.74,753.0,905
59.0,32104.0,47.43,753.5,905
60.0,32604.0,50.37,754.0,905
61.0,-32432.0,52.41,754.5,905
62.0,-31932.0,52.73,755.0,905
63.0,-31432.0,54.65,755.5,905
64.0,-30932.0,56.55,756.0,905
65.0,-30432.0,58.54,756.5,905
66.0,-29932.0,60.84,757.0,905
67.0,-29432.0,65.76,757.5,905
68.0,-28932.0,54.39,758.0,905
69.0,-28432.0,58.06,758.5,905
70.0,-27932.0,62.76,759.0,905
71.0,-27432.0,68.5,759.5,905
72.0,-26932.0,70.78,760.0,905
73.0,-26432.0,71.79,760.5,905
74.0,-25932.0,71.72,761.0,905
75.0,-25432.0,78.02,761.5,905
76.0,-24932.0,78.84,762.0,905
77.0,-24432.0,77.03,762.5,905
78.0,-23932.0,78.4,763.0,905
79.0,-23432.0,77.36,763.5,905
80.0,-22932.0,82.01,764.0,905
81.0,-22432.0,86.23,764.5,905
82.0,-21932.0,83.56,765.0,905
83.0,-21432.0,89.7,765.5,905
84.0,-20932.0,92.09,766.0,905
85.0,-20432.0,94.96,766.5,905
86.0,-19932.0,80.98,767.0,905
87.0,-19432.0,90.25,767.5,905
88.0,-18932.0,93.87,768.0,905
89.0,-18432.0,97.39,768.5,905
