Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm)
3.0,31356.0,-108.46,294.0,860
4.0,31856.0,-108.26,294.5,860
5.0,32356.0,-108.47,295.0,860
6.0,-32680.0,-108.24,295.5,860
7.0,-32180.0,-108.12,296.0,860
8.0,-31680.0,-107.79,296.5,860
9.0,-31180.0,-107.96,297.0,860
10.0,-30680.0,-103.18,297.5,860
11.0,-30180.0,-93.98,298.0,860
12.0,-29680.0,-81.38,298.5,860
13.0,-29180.0,-60.09,299.0,860
14.0,-28680.0,16.33,299.5,860
15.0,-28180.0,-18.25,300.0,860
16.0,-27680.0,6.54,300.5,860
17.0,-27180.0,30.43,301.0,860
18.0,-26680.0,52.17,301.5,860
19.0,-26180.0,82.03,302.0,860
20.0,-25680.0,108.46,302.5,860
21.0,-25180.0,133.61,303.0,860
22.0,-24680.0,159.44,303.5,860
23.0,-24180.0,188.42,304.0,860
24.0,-23680.0,213.74,304.5,860
25.0,-23180.0,237.25,305.0,860
26.0,-22680.0,266.02,305.5,860
27.0,-22180.0,294.85,306.0,860
28.0,-21680.0,319.62,306.5,860
29.0,-21180.0,340.35,307.0,860
30.0,-20680.0,362.42,307.5,860
31.0,-20180.0,385.29,308.0,860
32.0,-19680.0,411.59,308.5,860
33.0,-19180.0,432.81,309.0,860
34.0,-18680.0,454.22,309.5,860
35.0,-18180.0,476.82,310.0,860
36.0,-17680.0,502.05,310.5,860
37.0,-17180.0,523.27,311.0,860
38.0,-16680.0,545.08,311.5,860
39.0,-16180.0,566.99,312.0,860
40.0,-15680.0,592.96,312.5,860
41.0,-15180.0,614.07,313.0,860
42.0,-14680.0,634.58,313.5,860
43.0,-14180.0,655.94,314.0,860
44.0,-13680.0,678.47,314.5,860
45.0,-13180.0,701.6,315.0,860
46.0,-12680.0,722.3,315.5,860
47.0,-12180.0,743.92,316.0,860
48.0,-11680.0,765.18,316.5,860
49.0,-11180.0,789.05,317.0,860
50.0,-10680.0,810.06,317.5,860
51.0,-10180.0,833.86,318.0,860
52.0,-9680.0,855.77,318.5,860
53.0,-9180.0,880.61,319.0,860
54.0,-8680.0,901.76,319.5,860
55.0,-8180.0,922.87,320.0,860
56.0,-7680.0,945.68,320.5,860
57.0,-7180.0,965.76,321.0,860
58.0,-6680.0,988.2,321.5,860
59.0,-6180.0,1009.36,322.0,860
