Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm)
3.0,284.0,-50.38,394.0,820
4.0,784.0,-47.16,394.5,820
5.0,1284.0,-47.51,395.0,820
6.0,1784.0,-45.77,395.5,820
7.0,2284.0,-45.13,396.0,820
8.0,2784.0,-41.9,396.5,820
9.0,3284.0,-40.65,397.0,820
10.0,3784.0,-38.14,397.5,820
11.0,4284.0,-28.1,398.0,820
12.0,4784.0,-23.73,398.5,820
13.0,5284.0,-20.12,399.0,820
14.0,5784.0,-15.08,399.5,820
15.0,6284.0,-12.69,400.0,820
16.0,6784.0,-7.14,400.5,820
17.0,7284.0,-3.16,401.0,820
18.0,7784.0,1.66,401.5,820
19.0,8284.0,4.74,402.0,820
20.0,8784.0,8.13,402.5,820
21.0,9284.0,4.27,403.0,820
22.0,9784.0,6.54,403.5,820
23.0,10284.0,7.24,404.0,820
24.0,10784.0,9.25,404.5,820
25.0,11284.0,12.53,405.0,820
26.0,11784.0,14.52,405.5,820
27.0,12284.0,19.55,406.0,820
28.0,12784.0,18.06,406.5,820
29.0,13284.0,22.83,407.0,820
30.0,13784.0,26.4,407.5,820
31.0,14284.0,30.67,408.0,820
32.0,14784.0,31.91,408.5,820
33.0,15284.0,35.04,409.0,820
34.0,15784.0,36.36,409.5,820
35.0,16284.0,41.53,410.0,820
36.0,16784.0,43.86,410.5,820
37.0,17284.0,44.8,411.0,820
38.0,17784.0,46.62,411.5,820
39.0,18284.0,43.75,412.0,820
40.0,18784.0,46.79,412.5,820
41.0,19284.0,51.12,413.0,820
42.0,19784.0,53.25,413.5,820
43.0,20284.0,53.91,414.0,820
44.0,20784.0,57.48,414.5,820
45.0,21284.0,59.59,415.0,820
46.0,21784.0,63.07,415.5,820
47.0,22284.0,65.09,416.0,820
48.0,22784.0,66.04,416.5,820
49.0,23284.0,67.41,417.0,820
50.0,23784.0,68.34,417.5,820
51.0,24284.0,70.79,418.0,820
52.0,24784.0,71.99,418.5,820
53.0,25284.0,73.46,419.0,820
54.0,25784.0,77.02,419.5,820
55.0,26284.0,80.42,420.0,820
56.0,26784.0,81.4,420.5,820
57.0,27284.0,83.76,421.0,820
58.0,27784.0,85.95,421.5,820
59.0,28284.0,88.53,422.0,820
60.0,28784.0,89.01,422.5,820
61.0,29284.0,93.76,423.0,820
62.0,29784.0,95.33,423.5,820
63.0,30284.0,95.09,424.0,820
64.0,30784.0,97.29,424.5,820
65.0,31284.0,102.19,425.0,820
66.0,31784.0,105.02,425.5,820
67.0,32284.0,105.89,426.0,820
68.0,-32752.0,109.09,426.5,820
69.0,-32252.0,109.74,427.0,820
70.0,-31752.0,112.68,427.5,820
71.0,-31252.0,115.74,428.0,820
72.0,-30752.0,118.04,428.5,820
73.0,-30252.0,117.44,429.0,820
74.0,-29752.0,123.04,429.5,820
75.0,-29252.0,124.11,430.0,820
76.0,-28752.0,126.19,430.5,820
77.0,-28252.0,128.87,431.0,820
78.0,-27752.0,129.72,431.5,820
79.0,-27252.0,133.11,432.0,820
80.0,-26752.0,136.59,432.5,820
81.0,-26252.0,140.67,433.0,820
82.0,-25752.0,143.76,433.5,820
83.0,-25252.0,147.78,434.0,820
84.0,-24752.0,150.36,434.5,820
85.0,-24252.0,154.73,435.0,820
86.0,-23752.0,159.09,435.5,820
87.0,-23252.0,164.62,436.0,820
88.0,-22752.0,169.03,436.5,820
89.0,-22252.0,174.08,437.0,820
