Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm)
2.0,4532.0,-9.84,857.0,725
3.0,5032.0,-10.13,857.5,725
4.0,5532.0,-9.92,858.0,725
5.0,6032.0,-11.16,858.5,725
6.0,6532.0,-10.55,859.0,725
7.0,7032.0,-10.38,859.5,725
8.0,7532.0,-2.16,860.0,725
9.0,8032.0,5.84,860.5,725
10.0,8532.0,13.82,861.0,725
11.0,9032.0,16.36,861.5,725
12.0,9532.0,21.0,862.0,725
13.0,10032.0,6.73,862.5,725
14.0,10532.0,20.35,863.0,725
15.0,11032.0,24.23,863.5,725
16.0,11532.0,35.04,864.0,725
17.0,12032.0,41.18,864.5,725
18.0,12532.0,46.28,865.0,725
19.0,13032.0,42.5,865.5,725
20.0,13532.0,55.2,866.0,725
21.0,14032.0,55.2,866.5,725
22.0,14532.0,42.87,867.0,725
23.0,15032.0,51.17,867.5,725
24.0,15532.0,61.91,868.0,725
25.0,16032.0,63.42,868.5,725
26.0,16532.0,73.0,869.0,725
27.0,17032.0,82.85,869.5,725
28.0,17532.0,82.19,870.0,725
29.0,18032.0,90.6,870.5,725
30.0,18532.0,97.11,871.0,725
31.0,19032.0,103.26,871.5,725
32.0,19532.0,115.55,872.0,725
33.0,20032.0,125.14,872.5,725
34.0,20532.0,136.72,873.0,725
35.0,21032.0,143.03,873.5,725
36.0,21532.0,147.86,874.0,725
37.0,22032.0,150.06,874.5,725
38.0,22532.0,167.13,875.0,725
39.0,23032.0,157.65,875.5,725
40.0,23532.0,140.92,876.0,725
41.0,24032.0,168.03,876.5,725
42.0,24532.0,179.27,877.0,725
43.0,25032.0,206.67,877.5,725
44.0,25532.0,200.58,878.0,725
45.0,26032.0,216.02,878.5,725
46.0,26532.0,220.25,879.0,725
47.0,27032.0,235.15,879.5,725
48.0,27532.0,230.05,880.0,725
49.0,28032.0,230.2,880.5,725
50.0,28532.0,245.52,881.0,725
51.0,29032.0,252.3,881.5,725
52.0,29532.0,258.01,882.0,725
53.0,30032.0,264.12,882.5,725
54.0,30532.0,269.32,883.0,725
55.0,31032.0,280.52,883.5,725
56.0,31532.0,279.07,884.0,725
57.0,32032.0,290.08,884.5,725
58.0,32532.0,295.66,885.0,725
59.0,-32504.0,296.47,885.5,725
60.0,-32004.0,300.46,886.0,725
61.0,-31504.0,321.43,886.5,725
62.0,-31004.0,328.32,887.0,725
63.0,-30504.0,334.94,887.5,725
64.0,-30004.0,337.4,888.0,725
65.0,-29504.0,344.18,888.5,725
66.0,-29004.0,352.87,889.0,725
67.0,-28504.0,358.78,889.5,725
68.0,-28004.0,365.73,890.0,725
69.0,-27504.0,379.71,890.5,725
70.0,-27004.0,382.05,891.0,725
71.0,-26504.0,387.37,891.5,725
72.0,-26004.0,395.73,892.0,725
73.0,-25504.0,402.8,892.5,725
74.0,-25004.0,410.55,893.0,725
75.0,-24504.0,416.73,893.5,725
76.0,-24004.0,418.4,894.0,725
77.0,-23504.0,424.46,894.5,725
78.0,-23004.0,432.22,895.0,725
79.0,-22504.0,442.29,895.5,725
80.0,-22004.0,451.62,896.0,725
81.0,-21504.0,453.25,896.5,725
82.0,-21004.0,457.4,897.0,725
83.0,-20504.0,457.11,897.5,725
84.0,-20004.0,463.24,898.0,725
85.0,-19504.0,485.46,898.5,725
86.0,-19004.0,484.81,899.0,725
87.0,-18504.0,493.55,899.5,725
88.0,-18004.0,469.12,900.0,725
89.0,-17504.0,496.59,900.5,725
