Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm)
2.0,27784.0,-27.54,421.5,765
3.0,28284.0,-4.89,422.0,765
4.0,28784.0,23.18,422.5,765
5.0,29284.0,43.47,423.0,765
6.0,29784.0,67.58,423.5,765
7.0,30284.0,100.92,424.0,765
8.0,30784.0,127.54,424.5,765
9.0,31284.0,139.64,425.0,765
10.0,31784.0,143.16,425.5,765
11.0,32284.0,144.65,426.0,765
12.0,-32752.0,147.57,426.5,765
13.0,-32252.0,150.47,427.0,765
14.0,-31752.0,152.91,427.5,765
15.0,-31252.0,156.98,428.0,765
16.0,-30752.0,160.4,428.5,765
17.0,-30252.0,163.86,429.0,765
18.0,-29752.0,164.65,429.5,765
19.0,-29252.0,166.88,430.0,765
20.0,-28752.0,168.84,430.5,765
21.0,-28252.0,171.56,431.0,765
22.0,-27752.0,177.54,431.5,765
23.0,-27252.0,181.55,432.0,765
24.0,-26752.0,184.65,432.5,765
25.0,-26252.0,186.78,433.0,765
26.0,-25752.0,189.81,433.5,765
27.0,-25252.0,194.36,434.0,765
28.0,-24752.0,199.63,434.5,765
29.0,-24252.0,201.58,435.0,765
30.0,-23752.0,205.91,435.5,765
31.0,-23252.0,210.18,436.0,765
32.0,-22752.0,215.18,436.5,765
33.0,-22252.0,220.81,437.0,765
34.0,-21752.0,226.17,437.5,765
35.0,-21252.0,231.56,438.0,765
36.0,-20752.0,236.82,438.5,765
37.0,-20252.0,241.02,439.0,765
38.0,-19752.0,244.64,439.5,765
39.0,-19252.0,252.57,440.0,765
40.0,-18752.0,256.74,440.5,765
41.0,-18252.0,261.61,441.0,765
42.0,-17752.0,268.19,441.5,765
43.0,-17252.0,273.65,442.0,765
44.0,-16752.0,277.45,442.5,765
45.0,-16252.0,280.76,443.0,765
46.0,-15752.0,281.0,443.5,765
47.0,-15252.0,239.49,444.0,765
48.0,-14752.0,243.01,444.5,765
49.0,-14252.0,246.91,445.0,765
50.0,-13752.0,251.12,445.5,765
51.0,-13252.0,256.52,446.0,765
52.0,-12752.0,257.83,446.5,765
53.0,-12252.0,259.36,447.0,765
54.0,-11752.0,263.76,447.5,765
55.0,-11252.0,267.11,448.0,765
56.0,-10752.0,267.37,448.5,765
57.0,-10252.0,273.7,449.0,765
58.0,-9752.0,281.12,449.5,765
59.0,-9252.0,282.65,450.0,765
60.0,-8752.0,284.04,450.5,765
61.0,-8252.0,289.57,451.0,765
62.0,-7752.0,291.16,451.5,765
63.0,-7252.0,291.66,452.0,765
64.0,-6752.0,298.57,452.5,765
65.0,-6252.0,291.8,453.0,765
66.0,-5752.0,293.23,453.5,765
67.0,-5252.0,280.09,454.0,765
68.0,-4752.0,287.56,454.5,765
69.0,-4252.0,300.3,455.0,765
70.0,-3752.0,301.58,455.5,765
71.0,-3252.0,311.41,456.0,765
72.0,-2752.0,314.78,456.5,765
73.0,-2252.0,320.03,457.0,765
74.0,-1752.0,329.46,457.5,765
75.0,-1252.0,337.61,458.0,765
76.0,-752.0,344.84,458.5,765
77.0,-252.0,351.77,459.0,765
78.0,248.0,357.54,459.5,765
79.0,748.0,361.81,460.0,765
80.0,1248.0,368.91,460.5,765
81.0,1748.0,354.62,461.0,765
82.0,2248.0,358.39,461.5,765
83.0,2748.0,365.46,462.0,765
84.0,3248.0,367.37,462.5,765
85.0,3748.0,379.82,463.0,765
86.0,4248.0,380.55,463.5,765
87.0,4748.0,385.04,464.0,765
88.0,5248.0,387.52,464.5,765
89.0,5748.0,397.27,465.0,765
