Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm)
2.0,-13644.0,-108.35,249.0,885
3.0,-13144.0,-106.16,249.5,885
4.0,-12644.0,-105.85,250.0,885
5.0,-12144.0,-103.93,250.5,885
6.0,-11644.0,-94.77,251.0,885
7.0,-11144.0,-88.38,251.5,885
8.0,-10644.0,-82.52,252.0,885
9.0,-10144.0,-80.44,252.5,885
10.0,-9644.0,-73.0,253.0,885
11.0,-9144.0,-66.65,253.5,885
12.0,-8644.0,-63.24,254.0,885
13.0,-8144.0,-59.34,254.5,885
14.0,-7644.0,-54.58,255.0,885
15.0,-7144.0,-47.3,255.5,885
16.0,-6644.0,-43.33,256.0,885
17.0,-6144.0,-39.44,256.5,885
18.0,-5644.0,-36.53,257.0,885
19.0,-5144.0,-28.27,257.5,885
20.0,-4644.0,-23.65,258.0,885
21.0,-4144.0,-18.79,258.5,885
22.0,-3644.0,-13.01,259.0,885
23.0,-3144.0,-5.39,259.5,885
24.0,-2644.0,1.39,260.0,885
25.0,-2144.0,6.45,260.5,885
26.0,-1644.0,12.65,261.0,885
27.0,-1144.0,22.0,261.5,885
28.0,-644.0,27.66,262.0,885
29.0,-144.0,34.92,262.5,885
30.0,356.0,38.48,263.0,885
31.0,856.0,42.18,263.5,885
32.0,1356.0,52.58,264.0,885
33.0,1856.0,46.78,264.5,885
34.0,2356.0,52.18,265.0,885
35.0,2856.0,57.28,265.5,885
36.0,3356.0,65.61,266.0,885
37.0,3856.0,71.71,266.5,885
38.0,4356.0,76.06,267.0,885
39.0,4856.0,79.45,267.5,885
40.0,5356.0,85.15,268.0,885
41.0,5856.0,90.27,268.5,885
42.0,6356.0,96.16,269.0,885
43.0,6856.0,95.69,269.5,885
44.0,7356.0,102.6,270.0,885
45.0,7856.0,105.62,270.5,885
46.0,8356.0,116.31,271.0,885
47.0,8856.0,121.98,271.5,885
48.0,9356.0,130.54,272.0,885
49.0,9856.0,131.5,272.5,885
50.0,10356.0,138.35,273.0,885
51.0,10856.0,142.67,273.5,885
52.0,11356.0,150.67,274.0,885
53.0,11856.0,157.25,274.5,885
54.0,12356.0,165.44,275.0,885
55.0,12856.0,169.37,275.5,885
56.0,13356.0,174.17,276.0,885
57.0,13856.0,182.27,276.5,885
58.0,14356.0,189.84,277.0,885
59.0,14856.0,194.47,277.5,885
60.0,15356.0,199.22,278.0,885
61.0,15856.0,207.05,278.5,885
62.0,16356.0,214.97,279.0,885
63.0,16856.0,222.76,279.5,885
64.0,17356.0,229.2,280.0,885
65.0,17856.0,236.9,280.5,885
66.0,18356.0,244.39,281.0,885
67.0,18856.0,252.34,281.5,885
68.0,19356.0,258.75,282.0,885
69.0,19856.0,263.73,282.5,885
70.0,20356.0,271.35,283.0,885
71.0,20856.0,279.01,283.5,885
72.0,21356.0,286.49,284.0,885
73.0,21856.0,294.1,284.5,885
74.0,22356.0,301.03,285.0,885
75.0,22856.0,307.09,285.5,885
76.0,23356.0,314.86,286.0,885
77.0,23856.0,321.13,286.5,885
78.0,24356.0,329.5,287.0,885
79.0,24856.0,337.64,287.5,885
80.0,25356.0,345.7,288.0,885
81.0,25856.0,350.73,288.5,885
82.0,26356.0,356.89,289.0,885
83.0,26856.0,361.34,289.5,885
84.0,27356.0,369.72,290.0,885
85.0,27856.0,372.61,290.5,885
86.0,28356.0,381.01,291.0,885
87.0,28856.0,386.13,291.5,885
88.0,29356.0,396.32,292.0,885
89.0,29856.0,405.91,292.5,885
